canonical_name,portable_name,variable_label,description,units,role,source_family,original_dtype,export_storage,category_kind,metadata_quality,dataset_name,metadata_version,precision_format,missing_value_rule,formula,source_documentation,annual_dictionary_variable,reference_year_variable,source_mappings_json,policy_event_ids_json,policy_source_urls_json,status_variable,lower_bound_variable,upper_bound_variable,raw_token_variable,partial_sum_variable
unitid,unitid,UNITID,IPEDS UNITID identifying the institution in this annual identity panel. Numeric integer panel identifier; annual identity does not certify FSA aid reporting scope. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.,identifier,identifier_or_time,panel,Int64,numeric,,specific_definition,FSA institution award-year panel,1.0.0,%18.0g,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
award_year,award_year,Award year,"FSA award-year label YYYY-YYYY, spanning July 1 of the starting year through June 30 of the ending year. Use award_year_start as the numeric annual time index. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",award_year_label,identifier_or_time,panel,object,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
award_year_start,award_year_start,Award year start,Calendar year in which the FSA award year begins (July 1); numeric annual time index for panel declarations such as xtset unitid award_year_start. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.,calendar_year,identifier_or_time,panel,Int64,numeric,,specific_definition,FSA institution award-year panel,1.0.0,%18.0g,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
award_year_end,award_year_end,Award year end,"Calendar year in which the FSA award year ends (June 30), equal to award_year_start plus one. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",calendar_year,identifier_or_time,panel,Int64,numeric,,specific_definition,FSA institution award-year panel,1.0.0,%18.0g,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__opeid8,grant__opeid8,Grant: OPEID8,"Full eight-character FSA OPEID including the location suffix, stored as text with leading zeros. No parent roll-up; missing remains missing for UNITID-only verified records. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",identifier,identifier_or_time,grants,string,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__raw_opeid,grant__raw_opeid,Grant: Raw opeid,Original source OPEID cell token before normalization or evidence-ledger recovery; text is preserved without padding or coercion. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.,text,provenance,grants,object,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__source_identity_resolution,grant_source_identity_ff600db87e,Grant: Source identity resolution,"Evidence-ledger resolution ID for a recovered full OPEID. Original raw_opeid remains unchanged; recovery is bound to source digest, sheet, Excel row, original descriptors and contemporaneous independent FSA/IPEDS evidence. Missing means no OPEID recovery applied. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",text,provenance,grants,object,string,,inherited_source_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__source_record_present,grant__source_record_present,Grant: Source record present,Whether exactly one eligible source record from this family is included for this UNITID-year. Blocked and absent records are false. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.,category,quality_status,grants,boolean,coded_category,boolean,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__source_filename,grant__source_filename,Grant: Source filename,Filename of the selected FSA workbook supplying this source-family record. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.,text,provenance,grants,object,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__source_sheet,grant__source_sheet,Grant: Source sheet,Worksheet name in the selected FSA workbook supplying this source-family record. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.,text,provenance,grants,object,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__source_excel_row,grant__source_excel_row,Grant: Source excel row,"One-based Excel row number of this source-family institution record in its original selected worksheet, including header rows. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",one_based_row_number,provenance,grants,Int64,numeric,,specific_definition,FSA institution award-year panel,1.0.0,%18.0g,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,[],[],[],,,,,
grant__school,grant__school,Grant: School,"Grant source-family institution name, preserved from that family's descriptor resolution. This is an FSA reporting-unit descriptor, not independent certification of campus aid scope. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",text,descriptor,grants,object,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,"[{""component_family"": ""grants"", ""original_header"": ""School"", ""normalized_header"": ""school"", ""canonical_column"": ""school"", ""mapping_status"": ""mapped"", ""source_filename"": ""AY1999-00Pell.xls;AY2000-01Pell.xls;AY2001-02Pell.xls;AY2002-03Pell.xls;AY2003-04Pell.xls;AY2004-05Pell.xls;AY2005-06Pell.xls;Q40607AY.xls;Q40708AY.xls;Q40809AY.xls;Q40910AY.xls;Q41011AY.xls;Q41112AY.xls;Q41213AY.xls;Q41314AY.xls;Q41415AY.xls;Q41516AY.xls;Q41617AY.xls;Q41718AY.xls;grants-ay18-19-q4.xls;grants-ay19-20-q4.xls;grants-ay20-21-q4.xls;grants-ay21-22-q4.xls;grants-ay22-23-q4.xls;grants-ay23-24-q4.xls;grants-ay24-25-q4.xls"", ""sheet_name"": ""AY 1999-2000;AY 2000-2001;AY 2001-2002;AY 2002-2003;AY 2003-2004;AY 2004-2005;AY 2005-2006;Award Year Summary;Q4 0607 YTD;Q4 0708 YTD;Q4 0809 YTD;Q4 0910 YTD;Q4 1011 YTD;Q4 1112 YTD;Q4 1213 YTD"", ""first_year"": 1999, ""last_year"": 2025}]",[],[],,,,,
grant__state,grant__state,Grant: State,"Grant source-family state or jurisdiction descriptor, preserved from that family's descriptor resolution. This is an FSA reporting-unit descriptor, not independent certification of campus aid scope. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",text,descriptor,grants,object,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,"[{""component_family"": ""grants"", ""original_header"": ""State"", ""normalized_header"": ""state"", ""canonical_column"": ""state"", ""mapping_status"": ""mapped"", ""source_filename"": ""AY1999-00Pell.xls;AY2000-01Pell.xls;AY2001-02Pell.xls;AY2002-03Pell.xls;AY2003-04Pell.xls;AY2004-05Pell.xls;AY2005-06Pell.xls;Q40607AY.xls;Q40708AY.xls;Q40809AY.xls;Q40910AY.xls;Q41011AY.xls;Q41112AY.xls;Q41213AY.xls;Q41314AY.xls;Q41415AY.xls;Q41516AY.xls;Q41617AY.xls;Q41718AY.xls;grants-ay18-19-q4.xls;grants-ay19-20-q4.xls;grants-ay20-21-q4.xls;grants-ay21-22-q4.xls;grants-ay22-23-q4.xls;grants-ay23-24-q4.xls;grants-ay24-25-q4.xls"", ""sheet_name"": ""AY 1999-2000;AY 2000-2001;AY 2001-2002;AY 2002-2003;AY 2003-2004;AY 2004-2005;AY 2005-2006;Award Year Summary;Q4 0607 YTD;Q4 0708 YTD;Q4 0809 YTD;Q4 0910 YTD;Q4 1011 YTD;Q4 1112 YTD;Q4 1213 YTD"", ""first_year"": 1999, ""last_year"": 2025}]",[],[],,,,,
grant__school_type,grant__school_type,Grant: School type,"Grant source-family institution control/type descriptor, preserved from that family's descriptor resolution. This is an FSA reporting-unit descriptor, not independent certification of campus aid scope. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",text,descriptor,grants,object,string,,specific_definition,FSA institution award-year panel,1.0.0,,Missing values remain missing. Consult the observation status and family inclusion flags; no automatic zero filling.,,,,,"[{""component_family"": ""grants"", ""original_header"": ""School Type"", ""normalized_header"": ""school_type"", ""canonical_column"": ""school_type"", ""mapping_status"": ""mapped"", ""source_filename"": ""AY1999-00Pell.xls;AY2000-01Pell.xls;AY2001-02Pell.xls;AY2002-03Pell.xls;AY2003-04Pell.xls;AY2004-05Pell.xls;AY2005-06Pell.xls;Q40607AY.xls;Q40708AY.xls;Q40809AY.xls;Q40910AY.xls;Q41011AY.xls;Q41112AY.xls;Q41213AY.xls;Q41314AY.xls;Q41415AY.xls;Q41516AY.xls;Q41617AY.xls;Q41718AY.xls;grants-ay18-19-q4.xls;grants-ay19-20-q4.xls;grants-ay20-21-q4.xls;grants-ay21-22-q4.xls;grants-ay22-23-q4.xls;grants-ay23-24-q4.xls;grants-ay24-25-q4.xls"", ""sheet_name"": ""AY 1999-2000;AY 2000-2001;AY 2001-2002;AY 2002-2003;AY 2003-2004;AY 2004-2005;AY 2005-2006;Award Year Summary;Q4 0607 YTD;Q4 0708 YTD;Q4 0809 YTD;Q4 0910 YTD;Q4 1011 YTD;Q4 1112 YTD;Q4 1213 YTD"", ""first_year"": 1999, ""last_year"": 2025}]",[],[],,,,,
grant__pell_recipients,grant__pell_recipients,Grant: Pell recipients,"Grant: Pell recipients. Source-reported recipient count within this school, program and award year. Unique within the reported school/program period, not deduplicated across programs, schools or years. One eligible source record per UNITID x award year x family; complete source values retained; no aid allocation.",persons_within_program_school_award_year,measure,grants,Int64,numeric,,inherited_source_definition,FSA institution award-year panel,1.0.0,%18.0g,Never fill from program lifecycle alone; use observed cell status plus source/schema availability.,,,,,"[{""component_family"": ""grants"", ""original_header"": ""FEDERAL PELL GRANT PROGRAM | Recipients"", ""normalized_header"": ""federal_pell_grant_program_recipients"", ""canonical_column"": ""pell_recipients"", ""mapping_status"": ""mapped"", ""source_filename"": ""AY1999-00Pell.xls;AY2000-01Pell.xls;AY2001-02Pell.xls;AY2002-03Pell.xls;AY2003-04Pell.xls;AY2004-05Pell.xls;AY2005-06Pell.xls"", ""sheet_name"": ""AY 1999-2000;AY 2000-2001;AY 2001-2002;AY 2002-2003;AY 2003-2004;AY 2004-2005;AY 2005-2006"", ""first_year"": 1999, ""last_year"": 2006}, {""component_family"": ""grants"", ""original_header"": ""FEDERAL PELL GRANT PROGRAM | YTD Recipients"", ""normalized_header"": ""federal_pell_grant_program_recipients"", ""canonical_column"": ""pell_recipients"", ""mapping_status"": ""mapped"", ""source_filename"": ""Q40607AY.xls;Q40708AY.xls;Q40809AY.xls;Q40910AY.xls;Q41011AY.xls;Q41112AY.xls;Q41213AY.xls;Q41314AY.xls;Q41415AY.xls;Q41516AY.xls;Q41617AY.xls;Q41718AY.xls;grants-ay18-19-q4.xls;grants-ay19-20-q4.xls;grants-ay20-21-q4.xls;grants-ay21-22-q4.xls;grants-ay22-23-q4.xls;grants-ay23-24-q4.xls;grants-ay24-25-q4.xls"", ""sheet_name"": ""Award Year Summary;Q4 0607 YTD;Q4 0708 YTD;Q4 0809 YTD;Q4 0910 YTD;Q4 1011 YTD;Q4 1112 YTD;Q4 1213 YTD"", ""first_year"": 2006, ""last_year"": 2025}]","[""iasg_pact_2023"", ""iasg_into_pell_2024"", ""pell_two_awards_2009"", ""pell_second_award_repeal"", ""pell_lifetime_600"", ""pell_year_round_restore"", ""pell_closed_school_restoration"", ""pell_cfh_2018"", ""pell_prison_2023"", ""pell_sai_2024"", ""pell_intensity_2024"", ""fafsa_prior_prior_2017"", ""titleiv_atb_restriction_2012"", ""titleiv_atb_career_pathway"", ""titleiv_drug_selective_service_2021"", ""quarterly_cumulative_vintage"", ""award_year_july_june"", ""pell_auto_zero_2012"", ""pell_annual_parameters""]","[""https://fsapartners.ed.gov/fsa-print/publication/1003303"", ""https://fsapartners.ed.gov/fsa-print/publication/1005218"", ""https://fsapartners.ed.gov/fsa-print/publication/1083"", ""https://fsapartners.ed.gov/fsa-print/publication/2803"", ""https://fsapartners.ed.gov/fsa-print/publication/2961"", ""https://fsapartners.ed.gov/fsa-print/publication/2986"", ""https://fsapartners.ed.gov/fsa-print/publication/3067"", ""https://fsapartners.ed.gov/fsa-print/publication/9300"", ""https://fsapartners.ed.gov/knowledge-center/library/dear-colleague-letters/2010-08-03/gen-10-14-subject-implementation-two-federal-pell-grants-one-award-year"", ""https://fsapartners.ed.gov/knowledge-center/library/dear-colleague-letters/2017-06-19/gen-17-06-subject-implementation-year-round-pell-grants"", ""https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2017-04-03/grants-subject-guidance-cod-processing-pell-grant-restoration-students-who-attended-closed-schools"", ""https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2023-03-07/operational-implementation-guidance-federal-student-aids-implementation-2023-24-federal-pell-grant-payment-and-disbursement-schedules"", ""https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2024-03-15/pact-act-impacts-iraq-and-afghanistan-service-grants-iasg-eligibility-and-processing-2023-24-award-year-updated-pell-grant-eligibility-dependents-certain-deceased-servicemembers-and-public"", ""https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2026-03-13/federal-student-aid-posts-updated-reports-fsa-data-center"", ""https://fsapartners.ed.gov/knowledge-center/topics/prison-education-programs"", ""https://fsapartners.ed.gov/sites/default/files/2021-02/1314FSAHandbookCompleteActiveIndex.pdf"", ""https://fsapartners.ed.gov/sites/default/files/2021-02/Volume%203%20-%20Calculating%20Awards%20%26%20Packaging%20Master%20File.pdf"", ""https://fsapartners.ed.gov/sites/default/files/2021-03/1011FSAHbkVol3Master.pdf""]",grant__pell_recipients__status,grant__pell_recipients__lower_bound,grant__pell_recipients__upper_bound,grant__pell_recipients__raw_token,
