cw_year,file,sha256,records,label_notes_sha256,schemas_complete,official_unmatched_unitid_rows,preliminary
2000,CW2000.xlsx,e77e9c294a771ac74d45b902c19cc1b78de2ea2c0c604aa47b742bc6b3f779ea,23094.0,4876fb1cbb28a8404f2cd4687273c5162fc921c7e4b946a13da72f150ca808e0,True,2256,False
2001,CW2001.xlsx,d7c3a1fd8c3ae15bad291ef9f4142c073eb20f1d0b82617c1d8ccce54f80297f,22896.0,4876fb1cbb28a8404f2cd4687273c5162fc921c7e4b946a13da72f150ca808e0,True,2396,False
2002,CW2002.xlsx,71299279ba35d1922f06bb2535e183674d7df05e4a73f007a4b1e1993f5df028,22282.0,4876fb1cbb28a8404f2cd4687273c5162fc921c7e4b946a13da72f150ca808e0,True,595,False
2003,CW2003.xlsx,9fef61175c827a5295e7434f7c0e2979af10ccb9bcb01ecb856c275dc1e8d57c,21781.0,4876fb1cbb28a8404f2cd4687273c5162fc921c7e4b946a13da72f150ca808e0,True,136,False
2004,CW2004.xlsx,a86aa19b9a3fdc34bdba0bb1da308666ff1f230fb8b57154304f03266e7fdbf9,21558.0,4876fb1cbb28a8404f2cd4687273c5162fc921c7e4b946a13da72f150ca808e0,True,96,False
2005,CW2005.xlsx,568efd950f4ccada843c4f7c87d1d5b732fb82b7ab6ea3f7952b6abc52cc3625,21412.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,97,False
2006,CW2006.xlsx,61355402e84f96d59d1149d6ef824663ccd21b512d123113923fdb2325e82db5,21966.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,72,False
2007,CW2007.xlsx,103947f88848b1af7422550cab75f2e9774bcac0aea635af184d07696ad13c7c,23065.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,50,False
2008,CW2008.xlsx,494f1ab0c04140d1a6105f0e606b3075309f00ffd8aecd6b5a86478b4997252c,24086.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,122,False
2009,CW2009.xlsx,c18d7f45f30921bd1cfbb0d1e5436b6cc777a33739906896b94e042ecf14e3c8,25499.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,162,False
2010,CW2010.xlsx,e5b90c7cc00fb4573084a49693a3ad3fb45b11c87333da0b7bc83e283f7704a4,26650.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,118,False
2011,CW2011.xlsx,3b3cb0fc3674b997fb3d3271fbbb23adbbf8e4ee6077420976e50afc73d6e71d,27567.0,e7363dc2a8b9d63b376eb263df2607ce550c0ac77059ee51b02343e6058bc98a,True,52,False
2012,CW2012.xlsx,75c3c90cb27c651bdadfaf8e371b85edc2ee84758db626dc669802aa4eafc85e,27965.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,58,False
2013,CW2013.xlsx,ce8336278508515d69ef37e13663b89c8d69e3e30f63f2ae14999a71f508d700,27615.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,126,False
2014,CW2014.xlsx,278a90cf7f657cb563ad864c9dd1a63d826455ac4094da24a183b006edc3d616,27707.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,134,False
2015,CW2015.xlsx,62c3e4e57d48bba67cde6ae3fc8d19219f909e0d429e344a42b7e5e07aa91511,27540.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,145,False
2016,CW2016.xlsx,7cc4f356cdd19f8f647c09b5b3e9cd23255101bbf5c2d14d87377d54d952b38d,27214.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,175,False
2017,CW2017.xlsx,c87063aeb8385b562b354fec57af26190b7d274151d4294acfe98eec270a5b22,26640.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,235,False
2018,CW2018.xlsx,6e892bb393c5f26c4c825c5f3f31b327d2bdd6088b0b0a645c07c9419ff6ea09,26083.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,181,False
2019,CW2019.xlsx,0899b4afdbb08585a504f7a9b1e40a69603331fd394419d755700c2161db4336,25404.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,112,False
2020,CW2020.xlsx,f979628438f44406143da671355febf2781ec66c4f2b771081bb420f391175d3,25004.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,153,False
2021,CW2021.xlsx,492c3ff8eb8c54300de2fa327b0823ae7888a072f084d3fc6991935834359188,24908.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,75,False
2022,CW2022.xlsx,ecdc680414612ffdfb9b40fc0fbfad8cc34ab726ce742934cc567d98b6f56960,24714.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,96,False
2023,CW2023.xlsx,1dfc63a4a5944ebba538de0c014db4251fe501a0cadf97837638dff7fc82645e,24217.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,107,False
2024,CW2024_prelim.xlsx,cc489f5d778bbcf618039c6893bec455bb73a65e71022c7ce2d8f3c92c100ccb,23796.0,1d1eae83e7d54ab48d12c0c1bf273274561b10210339fdf02e74d09c0d4076af,True,72,True
