opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_root_unitid_count_end,ipeds_anchor_sensitivity,ipeds_unitid_start,ipeds_unitid_end
00101200,2024-2025,BIRMINGHAM-SOUTHERN COLLEGE,AL,35254-0002,,exact_unique_inactive,1,0,year_unavailable,100937,
00101706,1999-2000,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00101706,2000-2001,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00101706,2001-2002,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00101706,2002-2003,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00101706,2003-2004,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,2,ambiguous_or_unmatched,,101347
00103200,1999-2000,NORTHWEST ALABAMA COMMUNITY COLLEGE,AL,35581,,no_exact_match,0,0,ambiguous_or_unmatched,,
00103700,2008-2009,SELMA UNIVERSITY,AL,36701,,no_exact_match,0,0,ambiguous_or_unmatched,,
00104754,2006-2007,TROY UNIVERSITY - DOTHAN,AL,36082-0001,,no_exact_match,1,1,ambiguous_or_unmatched,,
00104800,2005-2006,TROY STATE UNIVERSITY DOTHAN,AL,36303-1575,,exact_unique_inactive,1,0,ambiguous_or_unmatched,102322,
00104900,2006-2007,TROY STATE UNIVERSITY MONTGOMERY,AL,36103-4419,,no_exact_match,0,0,ambiguous_or_unmatched,,
00105901,1999-2000,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00105901,2000-2001,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00105901,2001-2002,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00105901,2002-2003,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00105901,2003-2004,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00105901,2004-2005,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,2,ambiguous_or_unmatched,,100919
00105901,2006-2007,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,35221-1798,,exact_unique_inactive,2,1,ambiguous_or_unmatched,100919,
00105901,2007-2008,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,35221-1798,,no_exact_match,1,1,ambiguous_or_unmatched,,
00105901,2008-2009,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,35221-1798,,no_exact_match,1,1,ambiguous_or_unmatched,,
00105901,2009-2010,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,35221-1798,,no_exact_match,1,1,ambiguous_or_unmatched,,
00106304,2008-2009,UNIVERSITY OF ALASKA FAIRBANKS - KUSKOKWIN CAMPUS,AK,99775-7500,,no_exact_match,1,1,ambiguous_or_unmatched,,
00106304,2009-2010,UNIVERSITY OF ALASKA FAIRBANKS - KUSKOKWIN CAMPUS,AK,99775-7500,,no_exact_match,1,1,ambiguous_or_unmatched,,
00106501,2008-2009,UNIVERSITY OF ALASKA SOUTHEAST - SITKA CAMPUS,AK,99801-8680,,no_exact_match,1,1,ambiguous_or_unmatched,,
00107000,2015-2016,Thunderbird School of Global Management,AZ,85306-6000,,no_exact_match,0,0,ambiguous_or_unmatched,,
00107000,2016-2017,Thunderbird School of Global Management,AZ,85306-6000,,no_exact_match,0,0,ambiguous_or_unmatched,,
00108501,1999-2000,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108501,2000-2001,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108501,2001-2002,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108501,2002-2003,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY MCGEHEE,AR,,,no_exact_match,1,3,ambiguous_or_unmatched,,
00108502,1999-2000,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108502,2000-2001,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108502,2001-2002,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108502,2002-2003,UNIVERSITY OF ARKANSAS AT MONTICELLO - COLLEGE OF TECHNOLOGY CROSSETT,AR,,,no_exact_match,1,3,ambiguous_or_unmatched,,106944
00108906,1999-2000,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108906,2000-2001,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108906,2001-2002,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00108906,2002-2003,ARKANSAS TECH UNIVERSITY - OZARK CAMPUS,AR,,,no_exact_match,1,1,ambiguous_or_unmatched,,
00109000,2011-2012,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,4,4,ambiguous_or_unmatched,,
00109000,2012-2013,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,4,3,ambiguous_or_unmatched,,
00109000,2013-2014,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00109000,2014-2015,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,3,3,ambiguous_or_unmatched,,
00109000,2015-2016,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,3,2,ambiguous_or_unmatched,,
00109000,2016-2017,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2017-2018,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2018-2019,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2019-2020,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2020-2021,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2021-2022,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2022-2023,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2023-2024,Arkansas State University,AR,72401-0000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00109000,2024-2025,ARKANSAS STATE UNIVERSITY,AR,72401-0000,,multiple_exact_unitids,2,0,year_unavailable,,
00109006,1999-2000,ARKANSAS STATE UNIVERSITY - TECHNICAL INSTITUTE AT MARKED TREE,AR,,,no_exact_match,3,3,ambiguous_or_unmatched,,
00109006,2000-2001,ARKANSAS STATE UNIVERSITY - TECHNICAL INSTITUTE AT MARKED TREE,AR,,,no_exact_match,3,5,ambiguous_or_unmatched,,106847
00109100,2000-2001,ARKANSAS STATE UNIVERSITY - BEEBE,AR,72012-1000,,no_exact_match,0,0,ambiguous_or_unmatched,,
00109100,2003-2004,ARKANSAS STATE UNIVERSITY - BEEBE,AR,72012-1000,,no_exact_match,1,1,ambiguous_or_unmatched,,106449
00111700,2011-2012,Azusa Pacific University,CA,91702-7000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00111700,2012-2013,Azusa Pacific University,CA,91702-7000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,
00111700,2013-2014,Azusa Pacific University,CA,91702-7000,,multiple_exact_unitids,2,2,ambiguous_or_unmatched,,109785
