source_family,year,source_url,local_path,sha256,review_status,coverage_limit
NCES/FSA annual official crosswalk,2000,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2000.xlsx,e77e9c294a771ac74d45b902c19cc1b78de2ea2c0c604aa47b742bc6b3f779ea,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2001,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2001.xlsx,d7c3a1fd8c3ae15bad291ef9f4142c073eb20f1d0b82617c1d8ccce54f80297f,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2002,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2002.xlsx,71299279ba35d1922f06bb2535e183674d7df05e4a73f007a4b1e1993f5df028,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2003,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2003.xlsx,9fef61175c827a5295e7434f7c0e2979af10ccb9bcb01ecb856c275dc1e8d57c,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2004,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2004.xlsx,a86aa19b9a3fdc34bdba0bb1da308666ff1f230fb8b57154304f03266e7fdbf9,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2005,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2005.xlsx,568efd950f4ccada843c4f7c87d1d5b732fb82b7ab6ea3f7952b6abc52cc3625,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2006,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2006.xlsx,61355402e84f96d59d1149d6ef824663ccd21b512d123113923fdb2325e82db5,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2007,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2007.xlsx,103947f88848b1af7422550cab75f2e9774bcac0aea635af184d07696ad13c7c,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2008,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2008.xlsx,494f1ab0c04140d1a6105f0e606b3075309f00ffd8aecd6b5a86478b4997252c,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2009,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2009.xlsx,c18d7f45f30921bd1cfbb0d1e5436b6cc777a33739906896b94e042ecf14e3c8,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2010,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2010.xlsx,e5b90c7cc00fb4573084a49693a3ad3fb45b11c87333da0b7bc83e283f7704a4,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2011,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2011.xlsx,3b3cb0fc3674b997fb3d3271fbbb23adbbf8e4ee6077420976e50afc73d6e71d,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
NCES/FSA annual official crosswalk,2012,https://ed-public-download.scorecard.network/downloads/College_Scorecard_Raw_Data_06102026.zip,ResearchBuild/IPEDS/official_crosswalks/CW2012.xlsx,75c3c90cb27c651bdadfaf8e371b85edc2ee84758db626dc669802aa4eafc85e,All data columns and dictionary/value-label/notes sheets compared across annual series,Preliminary2024; retrospective PEPS aliases; no CW1999 or CW2025 available in archive
