opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_anchor_sensitivity,cw_year,cw_primary_unitid,cw_source_code,cw_source_method,cw_site_candidate_count,cw_additional_candidate_count,cw_site_parse_complete,cw_relation_parse_complete,cw_ipeds_reporting_code,cw_parent_opeid8,cw_preliminary,cw_raw_PEPSSchname,cw_raw_PEPSLocname,cw_raw_IPEDSInstnm,cw_raw_PEPSEligCert,cw_raw_IPEDSPSET4FLG,cw_raw_COA1,cw_raw_PY_OPEID,cw_raw_PYNotes,cw_membership,cw_mapping_status,geography_evidence,same_opeid_foreign_in_other_fsa_year
00458300,2010-2011,BROWN MACKIE COLLEGE-SOUTH BEND,IN,46635-1776,151944,exact_unique,5,ambiguous_or_unmatched,2010,460613,1,ipeds_header_match,1.0,0.0,True,True,1,00458300,False,Brown Mackie College-South Bend,Brown Mackie College-South Bend,Brown Mackie College-San Antonio,No [NNN],1,-2,00458300,,both,unique_official_site_match,IN,False
00469200,2018-2019,DORSEY COLLEGE,MI,48071-1871,169761,exact_unique,9,stable_unique,2018,169734,2,institution_reported_reporting_map,1.0,0.0,True,True,2,00469200,False,Dorsey School of Business,Dorsey School of Business,Dorsey Business Schools-Madison Heights,Yes [YCY],2,-2,00469202,,both,unique_official_site_match,MI,False
01179900,2023-2024,PAUL MITCHELL THE SCHOOL CHARLESTON,SC,29418-6993,199689,exact_unique,4,different_unitid,2023,467872,2,institution_reported_reporting_map,1.0,0.0,True,True,2,01179900,False,Paul Mitchell The School Charleston,Paul Mitchell The School Charleston,Paul Mitchell the School-Charleston,Yes [YCY],2,-2,01179902,,both,unique_official_site_match,SC,False
01293200,2018-2019,TINT SCHOOL OF MAKEUP & COSMETOLOGY,WA,98121-2210,227058,exact_unique,2,stable_unique,2018,484826,2,institution_reported_reporting_map,1.0,0.0,True,True,2,01293200,False,Tint School of Makeup & Cosmetology,Tint School of Makeup & Cosmetology,Tint School of Makeup & Cosmetology-Seattle,Yes [YCY],1,-2,01293201,,both,unique_official_site_match,WA,False
01293200,2019-2020,TINT SCHOOL OF MAKEUP & COSMETOLOGY,WA,98121-2210,227058,exact_unique,2,different_unitid,2019,484826,2,institution_reported_reporting_map,1.0,0.0,True,True,2,01293200,False,Tint School of Makeup & Cosmetology,Tint School of Makeup & Cosmetology,Tint School of Makeup & Cosmetology-Seattle,Yes [YCY],2,-2,01293200,,both,unique_official_site_match,WA,False
01308800,2024-2025,CAPRI BEAUTY COLLEGE,IL,60451-3860,143552,exact_unique,2,year_unavailable,2024,457031,1,ipeds_header_match,1.0,0.0,True,True,2,01308800,True,Capri Beauty College,Capri Beauty College,Capri Beauty College,Yes [YCY],2,-2,01308801,,both,unique_official_site_match,IL,False
02056500,2018-2019,MITCHELL'S ACADEMY,NC,27606-3326,199005,exact_unique,2,stable_unique,2018,413972,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02056500,False,Mitchell's Academy,Mitchell's Academy,Mitchell's Hair Styling Academy-Raleigh,Yes [YCY],2,-2,02056501,,both,unique_official_site_match,NC,False
02079400,2018-2019,Empire Beauty School,PA,19154-2810,443678,exact_unique,11,different_unitid,2018,212753,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02079400,False,Empire Beauty School,Empire Beauty School,Empire Beauty School-NE Philadelphia,Yes [YCY],1,02079400|02079417|4|20190325,02079400,,both,unique_official_site_match,PA,False
02154400,2016-2017,BEAU MONDE COLLEGE OF HAIR DESIGN,OR,97232-1315,485166,exact_unique,2,stable_unique,2016,208248,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02154400,False,Beau Monde College of Hair Design,Beau Monde College of Hair Design,Beau Monde College of Hair Design,Yes [YCY],1,-2,02154402,,both,unique_official_site_match,OR,False
02155300,2012-2013,Chicago School of Professional Psychology,CA,90017-3830,143978,exact_unique,5,different_unitid,2012,455664,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02155300,False,Chicago School of Professional Psychology,Chicago School of Professional Psychology,The Chicago School of Professional Psychology at Los Angeles,Yes [YPY],2,-2,02155307,,both,unique_official_site_match,CA,False
02179900,2011-2012,Argosy University,CA,92868-4844,436438,exact_unique,29,stable_unique,2011,145770,1,ipeds_header_match,1.0,0.0,True,True,2,02179900,False,Argosy University,Argosy University,Argosy University-Chicago,Yes [YPY],1,-2,02179936,,both,unique_official_site_match,CA,False
02201800,2011-2012,Kaplan College,IN,46324-3347,152424,exact_unique,3,different_unitid,2011,152415,3,relationship_established_from_other_years,1.0,0.0,True,True,2,02201800,False,Kaplan College,Kaplan College,Kaplan College-Hammond,Yes [YCY],1,-2,02201804,,both,unique_official_site_match,IN,False
02203300,2022-2023,Gene Juarez Academy,WA,98003-5087,235583,exact_unique,2,different_unitid,2022,407708,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02203300,False,Gene Juarez Academy,Gene Juarez Academy,Highlights Beauty Schools,Yes [YPY],2,-2,02203300|02203301,,both,unique_official_site_match,WA,False
02244300,2013-2014,ACADEMY OF HAIR DESIGN #3,MS,39204-5008,374316,exact_unique,2,stable_unique,2013,175722,1,ipeds_header_match,1.0,0.0,True,True,2,02244300,False,Academy of Hair Design #1,Academy of Hair Design #1,Academy of Hair Design-Grenada,Yes [YCY],1,-2,02244305,,both,unique_official_site_match,MS,False
02248200,2019-2020,MILAN INSTITUTE OF COSMETOLOGY,NV,89502-5031,385549,exact_unique,7,different_unitid,2019,454555,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02248200,False,Milan Institute of Cosmetology,Milan Institute of Cosmetology,Milan Institute of Cosmetology-Reno,Yes [YPY],2,-2,02248200,,both,unique_official_site_match,NV,False
02256200,2019-2020,BROKEN ARROW BEAUTY COLLEGE - COSMETOLOGY EDUCATION CENTER,OK,74133-2549,448424,exact_unique,2,stable_unique,2019,206880,1,ipeds_header_match,1.0,0.0,True,True,2,02256200,False,Broken Arrow Beauty College,Broken Arrow Beauty College - Cosmetology Education Center,Broken Arrow Beauty College-Broken Arrow,Yes [YCY],9,-2,02256200|02256201,,both,unique_official_site_match,OK,False
02262500,2020-2021,Faust Institute Of Cosmetology,IA,51360-1649,381486,exact_unique,2,stable_unique,2020,153339,1,ipeds_header_match,1.0,0.0,True,True,2,02262500,False,Faust Institute of Cosmetology,Faust Institute of Cosmetology,Faust Institute of Cosmetology-Storm Lake,Yes [YCY],2,-2,02262502,,both,unique_official_site_match,IA,False
02270800,2018-2019,Ameritech College,UT,84020-6545,229957,exact_unique,2,different_unitid,2018,447263,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02270800,False,Ameritech College,Ameritech College,AmeriTech College-Draper,Yes [YPY],1,-2,02270802,,both,unique_official_site_match,UT,False
02300100,2016-2017,Altierus Career College,WA,98208-2610,363590,exact_unique,3,stable_unique,2016,234739,1,ipeds_header_match,1.0,0.0,True,True,2,02300100,False,Everest College,Everest College,Everest College-Bremerton,Yes [YPY],2,-2,02300106,,both,unique_official_site_match,WA,False
02306800,2020-2021,Miller-Motte College,TN,37421-2569,443650,exact_unique,24,stable_unique,2020,245962,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02306800,False,Miller-Motte College,Miller-Motte College,Platt College,Yes [YPY],1,-2,02306832,,both,unique_official_site_match,TN,False
02334400,2022-2023,Centura College,VA,23320-2882,232016,exact_unique,5,stable_unique,2022,420024,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02334400,False,Centura College,Centura College,Centura College-Chesapeake,Yes [YCY],2,-2,02334403,,both,unique_official_site_match,VA,False
02340500,2019-2020,ST. LOUIS COLLEGE OF HEALTH CAREERS,MO,63026-1909,179511,exact_unique,2,different_unitid,2019,442426,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02340500,False,Saint Louis College of Health Careers,St. Louis College of Health Careers,St Louis College of Health Careers-Fenton,Yes [YCY],1,02340500|02340510|4|20210105,02340500,,both,unique_official_site_match,MO,False
02340500,2020-2021,St. Louis College Of Health Careers,MO,63026-1909,442426,exact_unique,2,stable_unique,2020,179511,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02340500,False,St. Louis College of Health Careers,St. Louis College of Health Careers,St Louis College of Health Careers-St Louis,Yes [YCY],1,-2,02340510,,both,unique_official_site_match,MO,False
02363500,2016-2017,ARTHUR'S BEAUTY COLLEGE,AR,72401-6198,106360,exact_unique,2,stable_unique,2016,489830,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02363500,False,Arthur's Beauty College,Arthur's Beauty College,Arthur's Beauty College-Jonesboro,Yes [YCY],1,-2,02363502,,both,unique_official_site_match,AR,False
02363500,2019-2020,ARTHUR'S BEAUTY COLLEGE,AR,72401-6198,106360,exact_unique,2,different_unitid,2019,489830,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02363500,False,Arthur's Beauty College,Arthur's Beauty College,Arthur's Beauty College-Jonesboro,Yes [YCY],1,-2,02363500,,both,unique_official_site_match,AR,False
02515400,2022-2023,City College,FL,33024-4045,244233,exact_unique,4,stable_unique,2022,475477,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02515400,False,City College,City College,City College-Hollywood,Yes [YPY],2,-2,02515400|02515403,,both,unique_official_site_match,FL,False
02524000,2020-2021,Jones Technical Institute,FL,32256-0367,487311,exact_unique,2,stable_unique,2020,372718,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02524000,False,Jones Technical Institute,Jones Technical Institute,Sunstate Academy,Yes [YCY],1,-2,02524003,,both,unique_official_site_match,FL,False
02531800,2018-2019,PAUL MITCHELL THE SCHOOL COSTA MESA,CA,92626-3804,380456,exact_unique,7,different_unitid,2018,445212,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02531800,False,Paul Mitchell The School Costa Mesa,Paul Mitchell The School Costa Mesa,Paul Mitchell the School-Orlando,Yes [YCY],1,-2,02531801,,both,unique_official_site_match,CA,False
02538500,2019-2020,ARTHUR'S BEAUTY COLLEGE,AR,72032-2320,106494,exact_unique,2,different_unitid,2019,445540,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02538500,False,Arthur's Beauty College,Arthur's Beauty College,Arthur's Beauty School Inc-Conway,Yes [YCY],1,-2,02538502,,both,unique_official_site_match,AR,False
02559400,2020-2021,Intercoast Colleges,CA,91791-1540,443571,exact_unique,5,stable_unique,2020,366289,2,institution_reported_reporting_map,1.0,0.0,True,True,2,02559400,False,InterCoast Colleges,InterCoast Colleges,InterCoast Colleges-Santa Ana,Yes [YCY],1,-2,02559413,,both,unique_official_site_match,CA,False
02617500,2016-2017,Altierus Career College,VA,22192-6808,480329,exact_unique,4,stable_unique,2016,236531,1,ipeds_header_match,1.0,0.0,True,True,2,02617500,False,Everest College,Everest College,Everest College-Seattle,Yes [YPY],2,-2,02617509,,both,unique_official_site_match,VA,False
03008600,2024-2025,CORTIVA INSTITUTE,FL,32751-7233,387925,exact_unique,2,year_unavailable,2024,438285,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03008600,True,Cortiva Institute,Cortiva Institute,Cortiva Institute,Yes [YPY],1,-2,03008600|03008602,,both,unique_official_site_match,FL,False
03010800,2018-2019,Fortis Institute,AL,35211-0000,216418,exact_unique,3,different_unitid,2018,455628,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03010800,False,Fortis Institute,Fortis Institute,Fortis Institute-Birmingham,Yes [YPY],2,-2,03010803,,both,unique_official_site_match,AL,False
03026500,2013-2014,Remington College,TX,75041-9935,223463,exact_unique,19,stable_unique,2013,380094,1,ipeds_header_match,1.0,0.0,True,True,2,03026500,False,Remington College,Remington College,Remington College-Houston Campus,Yes [YPY],1,-2,03026507,,both,unique_official_site_match,TX,False
03035200,2016-2017,TINT SCHOOL OF MAKEUP & COSMETOLOGY,TX,75051-4804,418968,exact_unique,2,stable_unique,2016,469197,1,ipeds_header_match,1.0,0.0,True,True,2,03035200,False,Tint School of Makeup & Cosmetology,Tint School of Makeup & Cosmetology,Tint School of Makeup and Cosmetology-Grand Prairie,Yes [YCY],2,-2,03035204,,both,unique_official_site_match,TX,False
03071600,2018-2019,College Of Business & Technology,FL,33144-2028,417318,exact_unique,5,different_unitid,2018,449083,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03071600,False,College of Business & Technology,College of Business & Technology,College of Business and Technology-Main Campus,Yes [YPY],1,-2,03071600,,both,unique_official_site_match,FL,False
03098700,2013-2014,MILAN INSTITUTE,CA,92211-6030,442657,exact_unique,3,stable_unique,2013,440846,1,ipeds_header_match,1.0,0.0,True,True,2,03098700,False,Milan Institute,Milan Institute,Milan Institute-Boise,Yes [YPY],2,-2,03098710,,both,unique_official_site_match,CA,False
03109700,2018-2019,CADILLAC INSTITUTE OF COSMETOLOGY,MI,49601-1800,421665,exact_unique,2,stable_unique,2018,169071,1,ipeds_header_match,1.0,0.0,True,True,2,03109700,False,Cadillac Institute of Cosmetology,Cadillac Institute of Cosmetology,Cadillac Institute of Cosmetology,Yes [YCY],2,-2,03109700|03109701,,both,unique_official_site_match,MI,False
03115000,2021-2022,Arizona College,AZ,85282-1840,421708,exact_unique,11,stable_unique,2021,497277,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03115000,False,Arizona College,Arizona College,Arizona College-Glendale,Yes [YCY],1,-2,03115010,,both,unique_official_site_match,AZ,False
03187300,2014-2015,STENOTECH CAREER INSTITUTE,NJ,08854-3756,450146,exact_unique,2,stable_unique,2014,430847,4,official_manual_match,1.0,0.0,True,True,2,03187300,False,StenoTech Career Institute,StenoTech Career Institute,StenoTech Career Institute-Fairfield,Yes [YCY],2,03187300|-2|X|20150831,03187300,,both,unique_official_site_match,NJ,False
03253300,2013-2014,PAUL MITCHELL THE SCHOOL MEMPHIS,TN,38133-4067,456029,exact_unique,2,stable_unique,2013,373605,1,ipeds_header_match,1.0,0.0,True,True,2,03253300,False,Paul Mitchell The School Memphis,Paul Mitchell The School Memphis,Jonesville Beauty School,Yes [YCY],1,-2,03253304,,both,unique_official_site_match,TN,False
03361400,2022-2023,Fortis College,AL,36303-7859,436641,exact_unique,4,different_unitid,2022,455460,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03361400,False,Fortis College,Fortis College,Fortis College-Dothan,Yes [YPY],2,-2,03361400|03361401,,both,unique_official_site_match,AL,False
03490300,2016-2017,PAUL MITCHELL THE SCHOOL CHICAGO,IL,60607-0000,458274,exact_unique,3,stable_unique,2016,171465,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03490300,False,Paul Mitchell the School Chicago,Paul Mitchell the School Chicago,Paul Mitchell the School-Escanaba,Yes [YCY],1,-2,03490300,,both,unique_official_site_match,IL,False
03678300,2020-2021,PIMA MEDICAL INSTITUTE,NM,87110-3935,442967,exact_unique,3,different_unitid,2020,105543,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03678300,False,Pima Medical Institute,Pima Medical Institute,Pima Medical Institute-Albuquerque,Yes [YCY],1,03678300|03678302|4|20210730,03678300,,both,unique_official_site_match,NM,False
03678300,2021-2022,Pima Medical Institute,NM,87110-3935,105543,exact_unique,3,stable_unique,2021,442967,1,ipeds_header_match,1.0,0.0,True,True,2,03678300,False,Pima Medical Institute,Pima Medical Institute,Pima Medical Institute-Albuquerque West,Yes [YCY],2,-2,03678303,,both,unique_official_site_match,NM,False
03698300,2024-2025,WEST COAST UNIVERSITY,TX,75080-2712,443331,exact_unique,6,year_unavailable,2024,477039,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03698300,True,West Coast University,West Coast University,West Coast University-Texas,Yes [YCY],1,-2,03698304,,both,unique_official_site_match,TX,False
03881400,2018-2019,EUROPEAN MASSAGE THERAPY SCHOOL (THE),NV,89117-5480,446251,exact_unique,2,stable_unique,2018,458423,2,institution_reported_reporting_map,1.0,0.0,True,True,2,03881400,False,Estelle Medical Academy,Estelle Medical Academy,European Massage Therapy School-Las Vegas,Yes [YCY],1,-2,03881401,,both,unique_official_site_match,NV,False
04174200,2018-2019,ALL BEAUTY COLLEGE,AZ,86409-2561,459125,exact_unique,3,stable_unique,2018,485306,2,institution_reported_reporting_map,1.0,0.0,True,True,2,04174200,False,All Beauty College,All Beauty College,All Beauty College,Yes [YCY],2,-2,04174201,,both,unique_official_site_match,AZ,False
04259800,2023-2024,CALIFORNIA INSTITUTE OF APPLIED TECHNOLOGY,CA,91950-6610,490285,exact_unique,2,stable_unique,2023,496186,2,institution_reported_reporting_map,1.0,0.0,True,True,2,04259800,False,California Institute of Arts & Technology,California Institute of Arts & Technology,California Institute of Arts & Technology-National City,Yes [YCY],1,-2,04259801,,both,unique_official_site_match,CA,False
