ipeds_match_status,cw_mapping_status,rows
exact_unique,incomplete_official_site_match,6
exact_unique,multiple_official_site_matches,1096
exact_unique,no_crosswalk_entry,5437
exact_unique,unique_official_site_match,134695
exact_unique_administrative_unit,multiple_official_site_matches,1
exact_unique_administrative_unit,no_crosswalk_entry,13
exact_unique_administrative_unit,unique_official_site_match,126
exact_unique_inactive,multiple_official_site_matches,3
exact_unique_inactive,no_crosswalk_entry,24
exact_unique_inactive,unique_official_site_match,631
multiple_exact_unitids,multiple_official_site_matches,546
multiple_exact_unitids,unique_official_site_match,46
no_exact_match,no_crosswalk_entry,13435
no_exact_match,official_no_site_match,464
no_exact_match,unique_official_site_match,637
