award_year,ipeds_year,unitid,instnm,opeid8,stabbr,city,sector,opeflag,act,cyactive,pset4flg,prch_f,idx_f,prch_sfa,idx_sfa,possible_group_evidence_category,diagnostic_root_fsa_opeids_json,official_observed_main_fsa_opeids_json,official_shared_parent_fsa_opeids_json,official_parent_reference_fsa_opeids_json,all_possible_group_fsa_opeids_json,cw_site_opeids_for_residual_unitid_json,cw_site_parent_opeids_json,cw_site_source_codes_json,cw_site_evidence_has_incomplete_parse,cw_reference_year_available,cw_preliminary_year,assignment_status,residual_type,fsa_observed_first_award_year,fsa_observed_last_award_year,fsa_observed_award_years
2024-2025,2024,100733,University of Alabama System Office,00800400,AL,Tuscaloosa,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00800400""]","[""00800400""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,103529,University of Alaska System of Higher Education,00800500,AK,Fairbanks,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00800500""]","[""00800500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,105136,Maricopa Community College System Office,00107500,AZ,Tempe,0,2,A,1,1,1,105136,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00107500""]","[""00107500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,108056,University of Arkansas System Office,00800800,AR,Little Rock,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00800800""]","[""00800800""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,110501,California State University-Chancellors Office,00113600,CA,Long Beach,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00113600""]","[""00113600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,112127,Church Divinity School of the Pacific,00116500,CA,Berkeley,2,1,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00116500""]","[""00116500""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,other_active_participating_institution_no_observed_direct_or_group_link,1999-2000,2023-2024,25.0
2024-2025,2024,112376,Coast Community College District Office,00871100,CA,Costa Mesa,0,2,A,1,1,-2,-2,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00871100""]","[""00871100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,112817,Contra Costa Community College District Office,00118900,CA,Martinez,0,2,A,1,1,1,112817,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00118900""]","[""00118900""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,114831,Foothill-De Anza Community College District,00902000,CA,Los Altos Hills,0,2,A,1,1,1,114831,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00902000""]","[""00902000""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,115287,Grossmont-Cuyamaca Community College District,00700600,CA,El Cajon,0,2,A,1,1,1,115287,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00700600""]","[""00700600""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
2024-2025,2024,117681,Los Angeles Community College District Office,00122100,CA,Los Angeles,0,2,A,1,1,1,117681,-2,-2,no_group_evidence_in_reviewed_sources,[],[],[],[],[],"[""00122100""]","[""00122100""]","[""1""]",False,True,True,no_direct_candidate; affiliation_and_root_are_review_only; no_assignment_or_amount_allocation,administrative_office,,,
