award_year,ipeds_year,universe_available,ipeds_pset4flg_universe,unique_resolved_fsa_in_universe,any_direct_fsa_candidate_in_universe,direct_candidate_without_unique_resolution,residual_without_direct_candidate,residual_with_possible_group_representation,residual_with_official_affiliation,residual_with_observed_main_parent,residual_with_shared_parent_affiliation,residual_as_official_parent_reference,residual_with_diagnostic_root_evidence,residual_both_official_affiliation_and_diagnostic_root,residual_official_affiliation_only,residual_diagnostic_root_only,residual_without_reviewed_group_evidence,residual_administrative_offices,residual_deferment_only,note
1999-2000,1999,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2000-2001,2000,True,6716.0,5351.0,5553.0,202.0,1163.0,944,944,944,944,0,942,942,2,0,219,12,43,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2001-2002,2001,True,6696.0,5404.0,5605.0,201.0,1091.0,982,982,982,982,0,981,981,1,0,109,14,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2002-2003,2002,True,6588.0,5373.0,5552.0,179.0,1036.0,957,957,957,957,0,954,954,3,0,79,15,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2003-2004,2003,True,6651.0,5378.0,5593.0,215.0,1058.0,988,988,988,988,0,988,988,0,0,70,14,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2004-2005,2004,True,6631.0,5397.0,5622.0,225.0,1009.0,931,931,931,931,0,929,929,2,0,78,15,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2005-2006,2005,True,6705.0,5415.0,5656.0,241.0,1049.0,966,966,966,966,0,965,965,1,0,83,14,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2006-2007,2006,True,6784.0,5478.0,5758.0,280.0,1026.0,923,923,923,923,0,922,922,1,0,103,16,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2007-2008,2007,True,6790.0,5451.0,5764.0,313.0,1026.0,936,936,936,936,0,935,935,1,0,90,15,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2008-2009,2008,True,6871.0,5476.0,5768.0,292.0,1103.0,1011,1011,1011,1011,0,1007,1007,4,0,92,16,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2009-2010,2009,True,6979.0,5496.0,5761.0,265.0,1218.0,1177,1177,1177,1177,0,1175,1175,2,0,41,15,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2010-2011,2010,True,7259.0,5580.0,5871.0,291.0,1388.0,1353,1353,1353,1353,0,1350,1350,3,0,35,15,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2011-2012,2011,True,7479.0,5725.0,5806.0,81.0,1673.0,1588,1587,1587,1587,0,1576,1575,12,1,85,60,0,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2012-2013,2012,True,7496.0,5708.0,5786.0,78.0,1710.0,1625,1625,1625,1625,0,1625,1625,0,0,85,60,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2013-2014,2013,True,7477.0,5614.0,5708.0,94.0,1769.0,1685,1685,1685,1685,0,1675,1675,10,0,84,61,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2014-2015,2014,True,7389.0,5591.0,5673.0,82.0,1716.0,1618,1618,1618,1618,0,1614,1614,4,0,98,61,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2015-2016,2015,True,7252.0,5516.0,5602.0,86.0,1650.0,1554,1554,1554,1554,0,1553,1553,1,0,96,57,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2016-2017,2016,True,6834.0,5424.0,5512.0,88.0,1322.0,1236,1236,1236,1236,0,1235,1235,1,0,86,57,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2017-2018,2017,True,6715.0,5343.0,5424.0,81.0,1291.0,1194,1194,1194,1194,0,1191,1191,3,0,97,57,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2018-2019,2018,True,6353.0,5218.0,5315.0,97.0,1038.0,946,946,946,946,0,945,945,1,0,92,56,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2019-2020,2019,True,6216.0,5171.0,5257.0,86.0,959.0,872,872,872,872,0,868,868,4,0,87,55,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2020-2021,2020,True,6133.0,5134.0,5222.0,88.0,911.0,829,829,829,829,0,825,825,4,0,82,53,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2021-2022,2021,True,6045.0,5076.0,5156.0,80.0,889.0,801,801,801,801,0,801,801,0,0,88,53,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2022-2023,2022,True,5988.0,5004.0,5089.0,85.0,899.0,818,818,818,818,0,817,817,1,0,81,53,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2023-2024,2023,True,5889.0,4933.0,5014.0,81.0,875.0,790,790,790,790,0,788,788,2,0,85,53,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
2024-2025,2024,True,5829.0,4863.0,4945.0,82.0,884.0,788,788,788,788,0,782,782,6,0,96,53,3,"Possible grouping is overlapping relationship evidence, not matched campus identity or aid allocation."
