opeid8,unitid,school,ipeds_instnm,state,ipeds_stabbr,ipeds_resolution_status,descriptor_review_required,cw_source_code,first,last,years,similarity,official_normalization_similarity
02588900,131742,MEDTECH INSTITUTE,Sanz School,VA,DC,official_site_and_directory_agree,False,1.0,2008-2009,2008-2009,1,0.0,0.14285714285714285
01185800,171313,EVEREST COLLEGE,NATIONAL INSTITUTE OF TECHNOLOGY,IL,MI,official_site_and_directory_agree,False,1.0,2000-2001,2000-2001,1,0.0769230769230769,0.2978723404255319
01185800,171313,EVEREST COLLEGE,NATIONAL INSTITUTE OF TECHNOLOGY,IL,MI,unique_annual_directory_only,False,,1999-2000,1999-2000,1,0.0769230769230769,0.2978723404255319
00736200,186885,MEDTECH COLLEGE,STUART SCHOOL OF BUSINESS ADMINISTRATION,IN,NJ,official_site_and_directory_agree,False,1.0,2002-2003,2004-2005,3,0.1081081081081081,0.21818181818181817
00736200,186885,MEDTECH COLLEGE,Stuart School of Business Administration,IN,NJ,official_site_and_directory_agree,False,1.0,2005-2006,2005-2006,1,0.1081081081081081,0.21818181818181817
00461700,156736,NATIONAL COLLEGE OF BUSINESS AND TECHNOLOGY,FUGAZZI COLLEGE,TN,KY,unique_annual_directory_only,False,,1999-2000,1999-2000,1,0.1142857142857142,0.3448275862068966
00850100,237914,RASMUSSEN COLLEGE,WEBSTER COLLEGE,FL,WV,official_site_and_directory_agree,False,1.0,2000-2001,2000-2001,1,0.125,0.5625
00850100,237914,RASMUSSEN COLLEGE,WEBSTER COLLEGE,FL,WV,official_site_and_directory_agree,True,1.0,2001-2002,2001-2002,1,0.125,0.5625
00850100,237914,RASMUSSEN COLLEGE,WEBSTER COLLEGE,FL,WV,unique_annual_directory_only,False,,1999-2000,1999-2000,1,0.125,0.5625
00458600,260901,Purdue University Global,Kaplan University-Davenport Campus,IN,IA,official_site_and_directory_agree,False,2.0,2017-2018,2017-2018,1,0.1379310344827586,0.5172413793103449
00458600,260901,Purdue University Global,Kaplan University-Davenport Campus,IN,IA,official_site_and_directory_agree,True,2.0,2016-2017,2016-2017,1,0.1379310344827586,0.5172413793103449
03253300,373605,PAUL MITCHELL THE SCHOOL MEMPHIS,Jonesville Beauty School,TN,LA,official_site_and_directory_agree,False,1.0,2011-2012,2012-2013,2,0.1578947368421052,0.35714285714285715
02313900,178226,WESTWOOD COLLEGE - O'HARE AIRPORT,THE VANDERSCHMIDT SCHOOL,IL,MO,official_site_and_directory_agree,False,1.0,2000-2001,2000-2001,1,0.1666666666666666,0.24
