opeid8,award_year,school,state,zip_code,unitid,ipeds_match_status,ipeds_root_unitid_count_start,ipeds_anchor_sensitivity,cw_year,cw_primary_unitid,cw_source_code,cw_source_method,cw_site_candidate_count,cw_additional_candidate_count,cw_site_parse_complete,cw_relation_parse_complete,cw_ipeds_reporting_code,cw_parent_opeid8,cw_preliminary,cw_raw_PEPSSchname,cw_raw_PEPSLocname,cw_raw_IPEDSInstnm,cw_raw_PEPSEligCert,cw_raw_IPEDSPSET4FLG,cw_raw_COA1,cw_raw_PY_OPEID,cw_raw_PYNotes,cw_membership,cw_mapping_status,geography_evidence,same_opeid_foreign_in_other_fsa_year
00101706,2000-2001,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2000,101240,1,ipeds_header_match,1.0,0.0,True,True,1,00101700,False,Gadsden State Community College,Gadsden State Community College - Harry M. Ayers Campus,GADSDEN STATE COMMUNITY COLLEGE,Yes,1,-2,-2,,both,unique_official_site_match,AL,False
00101706,2001-2002,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2001,101240,1,ipeds_header_match,1.0,0.0,True,True,1,00101700,False,Gadsden State Community College,Gadsden State Community College - Harry M. Ayers Campus,GADSDEN STATE COMMUNITY COLLEGE,Yes,1,-2,00101706,,both,unique_official_site_match,AL,False
00101706,2002-2003,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2002,101240,1,ipeds_header_match,1.0,0.0,True,True,1,00101700,False,Gadsden State Community College,Gadsden State Community College - Harry M. Ayers Campus,GADSDEN STATE COMMUNITY COLLEGE,Yes,1,-2,00101706,,both,unique_official_site_match,AL,False
00101706,2003-2004,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2003,101347,1,ipeds_header_match,1.0,0.0,True,True,2,00101700,False,Gadsden State Community College,Gadsden State Community College - Harry M. Ayers Campus,GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,Yes,1,-2,00101706|00570500,,both,unique_official_site_match,AL,False
00104754,2006-2007,TROY UNIVERSITY - DOTHAN,AL,36082-0001,,no_exact_match,1,ambiguous_or_unmatched,2006,102368,1,ipeds_header_match,1.0,0.0,True,True,1,00104700,False,Troy University,Troy University - Dothan,Troy University,Yes [YPY],1,-2,00104754,Merged,both,unique_official_site_match,AL,False
00105901,2000-2001,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2000,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,LAWSON STATE COMMUNITY COLLEGE,Yes,1,-2,-2,,both,unique_official_site_match,AL,False
00105901,2001-2002,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2001,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,LAWSON STATE COMMUNITY COLLEGE,Yes,1,-2,00105901,,both,unique_official_site_match,AL,False
00105901,2002-2003,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2002,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,LAWSON STATE COMMUNITY COLLEGE,Yes,1,-2,00105901,,both,unique_official_site_match,AL,False
00105901,2003-2004,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2003,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,LAWSON STATE COMMUNITY COLLEGE,Yes,1,-2,00105901,,both,unique_official_site_match,AL,False
00105901,2004-2005,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,,,no_exact_match,1,ambiguous_or_unmatched,2004,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,LAWSON STATE COMMUNITY COLLEGE,Yes,1,-2,00105901,,both,unique_official_site_match,AL,False
00105901,2007-2008,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,35221-1798,,no_exact_match,1,ambiguous_or_unmatched,2007,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,Lawson State Community College-Birmingham Campus,Yes [YPY],1,-2,00105901,,both,unique_official_site_match,AL,False
00105901,2008-2009,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,35221-1798,,no_exact_match,1,ambiguous_or_unmatched,2008,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,Lawson State Community College-Birmingham Campus,Yes [YPY],1,-2,00105901,,both,unique_official_site_match,AL,False
00105901,2009-2010,LAWSON STATE COMMUNITY COLLEGE - BESSEMER CAMPUS,AL,35221-1798,,no_exact_match,1,ambiguous_or_unmatched,2009,101569,1,ipeds_header_match,1.0,0.0,True,True,1,00105900,False,Lawson State Community College,Lawson State Community College - Bessemer Campus,Lawson State Community College-Birmingham Campus,Yes [YCY],1,-2,00105901,,both,unique_official_site_match,AL,False
