family,award_year,column,master_source_records,included_records,excluded_records,master_known_sum,included_known_sum,excluded_known_sum
grants,1999-2000,grant__pell_recipients,5224,4931,293,3911051,3567781,343270
grants,1999-2000,grant__pell_disbursements,5224,4931,293,7210153296.95,6510014545.059999,700138751.89
grants,1999-2000,grant__acg_recipients,5224,4931,293,,,
grants,1999-2000,grant__acg_disbursements,5224,4931,293,,,
grants,1999-2000,grant__smart_recipients,5224,4931,293,,,
grants,1999-2000,grant__smart_disbursements,5224,4931,293,,,
grants,1999-2000,grant__teach_recipients,5224,4931,293,,,
grants,1999-2000,grant__teach_disbursements,5224,4931,293,,,
grants,1999-2000,grant__iasg_recipients,5224,4931,293,,,
grants,1999-2000,grant__iasg_disbursements,5224,4931,293,,,
grants,2000-2001,grant__pell_recipients,5204,4904,300,4058326,3507248,551078
grants,2000-2001,grant__pell_disbursements,5204,4904,300,7953978896.66,6805446955.81,1148531940.85
grants,2000-2001,grant__acg_recipients,5204,4904,300,,,
grants,2000-2001,grant__acg_disbursements,5204,4904,300,,,
grants,2000-2001,grant__smart_recipients,5204,4904,300,,,
grants,2000-2001,grant__smart_disbursements,5204,4904,300,,,
grants,2000-2001,grant__teach_recipients,5204,4904,300,,,
grants,2000-2001,grant__teach_disbursements,5204,4904,300,,,
grants,2000-2001,grant__iasg_recipients,5204,4904,300,,,
grants,2000-2001,grant__iasg_disbursements,5204,4904,300,,,
grants,2001-2002,grant__pell_recipients,5185,4982,203,4526441,3934967,591474
grants,2001-2002,grant__pell_disbursements,5185,4982,203,9975668778.18,8593805317.24,1381863460.94
grants,2001-2002,grant__acg_recipients,5185,4982,203,,,
grants,2001-2002,grant__acg_disbursements,5185,4982,203,,,
grants,2001-2002,grant__smart_recipients,5185,4982,203,,,
grants,2001-2002,grant__smart_disbursements,5185,4982,203,,,
grants,2001-2002,grant__teach_recipients,5185,4982,203,,,
grants,2001-2002,grant__teach_disbursements,5185,4982,203,,,
grants,2001-2002,grant__iasg_recipients,5185,4982,203,,,
grants,2001-2002,grant__iasg_disbursements,5185,4982,203,,,
grants,2002-2003,grant__pell_recipients,5175,4982,193,4976116,4361751,614365
