family,award_year,record_disposition,record_origin,source_record_count,campus__fseog_disbursements,campus__fws_disbursements,campus__perkins_disbursements_amt,grant__acg_disbursements,grant__iasg_disbursements,grant__pell_disbursements,grant__smart_disbursements,grant__teach_disbursements,loan_direct__grad_plus_disbursements,loan_direct__grad_plus_loans_originated_amt,loan_direct__parent_plus_disbursements,loan_direct__parent_plus_loans_originated_amt,loan_direct__plus_disbursements,loan_direct__plus_loans_originated_amt,loan_direct__subsidized_disbursements,loan_direct__subsidized_graduate_disbursements,loan_direct__subsidized_graduate_loans_originated_amt,loan_direct__subsidized_loans_originated_amt,loan_direct__subsidized_undergraduate_disbursements,loan_direct__subsidized_undergraduate_loans_originated_amt,loan_direct__unsubsidized_disbursements,loan_direct__unsubsidized_graduate_disbursements,loan_direct__unsubsidized_graduate_loans_originated_amt,loan_direct__unsubsidized_loans_originated_amt,loan_direct__unsubsidized_undergraduate_disbursements,loan_direct__unsubsidized_undergraduate_loans_originated_amt,loan_ffel__grad_plus_disbursements,loan_ffel__grad_plus_loans_originated_amt,loan_ffel__parent_plus_disbursements,loan_ffel__parent_plus_loans_originated_amt,loan_ffel__plus_disbursements,loan_ffel__plus_loans_originated_amt,loan_ffel__subsidized_disbursements,loan_ffel__subsidized_loans_originated_amt,loan_ffel__unsubsidized_disbursements,loan_ffel__unsubsidized_loans_originated_amt
campus_based,2001-2002,excluded_annual_identity_unresolved,opeid_master,137,80519960.0,77985895.0,87712257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2001-2002,included_unique_family_record,opeid_master,3901,794428675.0,839824012.0,1013233621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2001-2002,quarantined_identity_unresolved,raw_source_quarantine,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2002-2003,excluded_annual_identity_unresolved,opeid_master,121,75866536.0,73157738.0,88009328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2002-2003,included_unique_family_record,opeid_master,3914,831652431.0,867224200.0,1057553997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2002-2003,quarantined_identity_unresolved,raw_source_quarantine,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2003-2004,excluded_annual_identity_unresolved,opeid_master,147,95347896.0,76595517.0,91467342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2003-2004,included_unique_family_record,opeid_master,3920,913071102.0,954672554.0,1147692326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2003-2004,quarantined_identity_unresolved,raw_source_quarantine,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2004-2005,ambiguous_family_multiple_records,opeid_master,2,7176000.0,10969487.0,9251104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2004-2005,excluded_annual_identity_unresolved,opeid_master,148,90914681.0,82245839.0,113281013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2004-2005,included_unique_family_record,opeid_master,3921,936450544.0,1002930230.0,1337530901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campus_based,2004-2005,quarantined_identity_unresolved,raw_source_quarantine,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
