family,award_year,record_disposition,record_origin,column,units,source_record_count,observed_amount_cells,unknown_amount_cells,known_source_dollar_sum
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,293,293,0,700138751.89
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,293,0,293,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,293,0,293,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,293,0,293,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,293,0,293,
grants,1999-2000,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,4931,4931,0,6510014545.06
grants,1999-2000,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,4931,0,4931,
grants,1999-2000,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,4931,0,4931,
grants,1999-2000,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,4931,0,4931,
grants,1999-2000,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,4931,0,4931,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,94,94,0,104334727.10000001
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,94,0,94,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,94,0,94,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,94,0,94,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,94,0,94,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,206,206,0,1044197213.7499999
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,206,0,206,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,206,0,206,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,206,0,206,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,206,0,206,
grants,2000-2001,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,4904,4904,0,6805446955.809999
grants,2000-2001,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,4904,0,4904,
grants,2000-2001,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,4904,0,4904,
grants,2000-2001,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,4904,0,4904,
grants,2000-2001,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,4904,0,4904,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,33,33,0,66827192.300000004
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,33,0,33,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,33,0,33,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,33,0,33,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,33,0,33,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,170,170,0,1315036268.6399999
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,grant__acg_disbursements,nominal_usd,170,0,170,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,grant__smart_disbursements,nominal_usd,170,0,170,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,grant__teach_disbursements,nominal_usd,170,0,170,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,grant__iasg_disbursements,nominal_usd,170,0,170,
grants,2001-2002,included_unique_family_record,opeid_master,grant__pell_disbursements,nominal_usd,4982,4982,0,8593805317.240002
grants,2001-2002,included_unique_family_record,opeid_master,grant__acg_disbursements,nominal_usd,4982,0,4982,
grants,2001-2002,included_unique_family_record,opeid_master,grant__smart_disbursements,nominal_usd,4982,0,4982,
grants,2001-2002,included_unique_family_record,opeid_master,grant__teach_disbursements,nominal_usd,4982,0,4982,
grants,2001-2002,included_unique_family_record,opeid_master,grant__iasg_disbursements,nominal_usd,4982,0,4982,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,grant__pell_disbursements,nominal_usd,29,29,0,67325842.14
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,grant__acg_disbursements,nominal_usd,29,0,29,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,grant__smart_disbursements,nominal_usd,29,0,29,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,grant__teach_disbursements,nominal_usd,29,0,29,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,grant__iasg_disbursements,nominal_usd,29,0,29,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,grant__pell_disbursements,nominal_usd,164,164,0,1450510390.67
