family,award_year,record_disposition,record_origin,detailed_identity_reason,column,units,source_record_count,observed_amount_cells,unknown_amount_cells,known_source_dollar_sum
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,281,281,0,149352182.45
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__acg_disbursements,nominal_usd,281,0,281,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__smart_disbursements,nominal_usd,281,0,281,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__teach_disbursements,nominal_usd,281,0,281,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__iasg_disbursements,nominal_usd,281,0,281,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__pell_disbursements,nominal_usd,12,12,0,550786569.44
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__acg_disbursements,nominal_usd,12,0,12,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__smart_disbursements,nominal_usd,12,0,12,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__teach_disbursements,nominal_usd,12,0,12,
grants,1999-2000,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__iasg_disbursements,nominal_usd,12,0,12,
grants,1999-2000,included_unique_family_record,opeid_master,unique_annual_directory_only,grant__pell_disbursements,nominal_usd,4931,4931,0,6510014545.06
grants,1999-2000,included_unique_family_record,opeid_master,unique_annual_directory_only,grant__acg_disbursements,nominal_usd,4931,0,4931,
grants,1999-2000,included_unique_family_record,opeid_master,unique_annual_directory_only,grant__smart_disbursements,nominal_usd,4931,0,4931,
grants,1999-2000,included_unique_family_record,opeid_master,unique_annual_directory_only,grant__teach_disbursements,nominal_usd,4931,0,4931,
grants,1999-2000,included_unique_family_record,opeid_master,unique_annual_directory_only,grant__iasg_disbursements,nominal_usd,4931,0,4931,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__pell_disbursements,nominal_usd,94,94,0,104334727.10000001
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__acg_disbursements,nominal_usd,94,0,94,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__smart_disbursements,nominal_usd,94,0,94,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__teach_disbursements,nominal_usd,94,0,94,
grants,2000-2001,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__iasg_disbursements,nominal_usd,94,0,94,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__pell_disbursements,nominal_usd,75,75,0,404558644.98999995
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__acg_disbursements,nominal_usd,75,0,75,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__smart_disbursements,nominal_usd,75,0,75,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__teach_disbursements,nominal_usd,75,0,75,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__iasg_disbursements,nominal_usd,75,0,75,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,119,119,0,57455487.849999994
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__acg_disbursements,nominal_usd,119,0,119,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__smart_disbursements,nominal_usd,119,0,119,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__teach_disbursements,nominal_usd,119,0,119,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__iasg_disbursements,nominal_usd,119,0,119,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__pell_disbursements,nominal_usd,12,12,0,582183080.91
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__acg_disbursements,nominal_usd,12,0,12,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__smart_disbursements,nominal_usd,12,0,12,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__teach_disbursements,nominal_usd,12,0,12,
grants,2000-2001,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__iasg_disbursements,nominal_usd,12,0,12,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__pell_disbursements,nominal_usd,57,57,0,65524559.13
grants,2000-2001,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__acg_disbursements,nominal_usd,57,0,57,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__smart_disbursements,nominal_usd,57,0,57,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__teach_disbursements,nominal_usd,57,0,57,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__iasg_disbursements,nominal_usd,57,0,57,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__pell_disbursements,nominal_usd,4847,4847,0,6739922396.679999
grants,2000-2001,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__acg_disbursements,nominal_usd,4847,0,4847,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__smart_disbursements,nominal_usd,4847,0,4847,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__teach_disbursements,nominal_usd,4847,0,4847,
grants,2000-2001,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__iasg_disbursements,nominal_usd,4847,0,4847,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__pell_disbursements,nominal_usd,33,33,0,66827192.300000004
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__acg_disbursements,nominal_usd,33,0,33,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__smart_disbursements,nominal_usd,33,0,33,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__teach_disbursements,nominal_usd,33,0,33,
grants,2001-2002,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__iasg_disbursements,nominal_usd,33,0,33,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__pell_disbursements,nominal_usd,1,1,0,8643672.99
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__acg_disbursements,nominal_usd,1,0,1,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__smart_disbursements,nominal_usd,1,0,1,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__teach_disbursements,nominal_usd,1,0,1,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_nonadministrative_directory_unitids,grant__iasg_disbursements,nominal_usd,1,0,1,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__pell_disbursements,nominal_usd,79,79,0,674382600.0
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__acg_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__smart_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__teach_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__iasg_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,79,79,0,61103694.160000004
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__acg_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__smart_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__teach_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__iasg_disbursements,nominal_usd,79,0,79,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__pell_disbursements,nominal_usd,11,11,0,570906301.4899999
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__acg_disbursements,nominal_usd,11,0,11,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__smart_disbursements,nominal_usd,11,0,11,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__teach_disbursements,nominal_usd,11,0,11,
grants,2001-2002,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__iasg_disbursements,nominal_usd,11,0,11,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__pell_disbursements,nominal_usd,52,52,0,93592204.48
grants,2001-2002,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__acg_disbursements,nominal_usd,52,0,52,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__smart_disbursements,nominal_usd,52,0,52,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__teach_disbursements,nominal_usd,52,0,52,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__iasg_disbursements,nominal_usd,52,0,52,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__pell_disbursements,nominal_usd,4930,4930,0,8500213112.76
grants,2001-2002,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__acg_disbursements,nominal_usd,4930,0,4930,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__smart_disbursements,nominal_usd,4930,0,4930,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__teach_disbursements,nominal_usd,4930,0,4930,
grants,2001-2002,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__iasg_disbursements,nominal_usd,4930,0,4930,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__pell_disbursements,nominal_usd,29,29,0,67325842.14
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__acg_disbursements,nominal_usd,29,0,29,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__smart_disbursements,nominal_usd,29,0,29,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__teach_disbursements,nominal_usd,29,0,29,
grants,2002-2003,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__iasg_disbursements,nominal_usd,29,0,29,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__pell_disbursements,nominal_usd,68,68,0,664544855.4499999
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__acg_disbursements,nominal_usd,68,0,68,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__smart_disbursements,nominal_usd,68,0,68,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__teach_disbursements,nominal_usd,68,0,68,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__iasg_disbursements,nominal_usd,68,0,68,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,86,86,0,89414315.46
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__acg_disbursements,nominal_usd,86,0,86,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__smart_disbursements,nominal_usd,86,0,86,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__teach_disbursements,nominal_usd,86,0,86,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__iasg_disbursements,nominal_usd,86,0,86,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__pell_disbursements,nominal_usd,10,10,0,696551219.76
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__acg_disbursements,nominal_usd,10,0,10,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__smart_disbursements,nominal_usd,10,0,10,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__teach_disbursements,nominal_usd,10,0,10,
grants,2002-2003,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__iasg_disbursements,nominal_usd,10,0,10,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__pell_disbursements,nominal_usd,26,26,0,34448692.5
grants,2002-2003,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__acg_disbursements,nominal_usd,26,0,26,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__smart_disbursements,nominal_usd,26,0,26,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__teach_disbursements,nominal_usd,26,0,26,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_alias_annual_unitid_verified,grant__iasg_disbursements,nominal_usd,26,0,26,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__pell_disbursements,nominal_usd,4956,4956,0,10081372413.99
grants,2002-2003,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__acg_disbursements,nominal_usd,4956,0,4956,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__smart_disbursements,nominal_usd,4956,0,4956,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__teach_disbursements,nominal_usd,4956,0,4956,
grants,2002-2003,included_unique_family_record,opeid_master,official_site_and_directory_agree,grant__iasg_disbursements,nominal_usd,4956,0,4956,
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__pell_disbursements,nominal_usd,14,14,0,37220082.45
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__acg_disbursements,nominal_usd,14,0,14,
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__smart_disbursements,nominal_usd,14,0,14,
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__teach_disbursements,nominal_usd,14,0,14,
grants,2003-2004,ambiguous_family_multiple_records,opeid_master,multiple_fsa_records_for_same_unitid_year_family,grant__iasg_disbursements,nominal_usd,14,0,14,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__pell_disbursements,nominal_usd,1,1,0,108256588.3
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__acg_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__smart_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__teach_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,crosswalk_site_parse_incomplete,grant__iasg_disbursements,nominal_usd,1,0,1,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__pell_disbursements,nominal_usd,77,77,0,697217997.36
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__acg_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__smart_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__teach_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,multiple_official_site_unitids,grant__iasg_disbursements,nominal_usd,77,0,77,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__pell_disbursements,nominal_usd,126,126,0,49737291.34
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__acg_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__smart_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__teach_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,no_annual_site_match,grant__iasg_disbursements,nominal_usd,126,0,126,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__pell_disbursements,nominal_usd,14,14,0,771578397.2700001
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__acg_disbursements,nominal_usd,14,0,14,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__smart_disbursements,nominal_usd,14,0,14,
grants,2003-2004,excluded_annual_identity_unresolved,opeid_master,resolved_administrative_directory_identity_ineligible,grant__teach_disbursements,nominal_usd,14,0,14,
