opeid8,award_year,school,state,school_type,zip_code,grant__pell_disbursements,loan__plus_disbursements,ipeds_anchor,ipeds_year,unitid,ipeds_match_status,ipeds_match_method,ipeds_exact_candidate_count,ipeds_unitid_start,ipeds_unitid_end,ipeds_start_candidate_count,ipeds_end_candidate_count,ipeds_anchor_sensitivity,ipeds_scope_root,ipeds_root_unitid_count_start,ipeds_root_unitid_count_end,fsa_root_opeid_count,ipeds_opeid_lifetime_unitid_count,ipeds_unitid_lifetime_opeid_count,ipeds_strict_eligible,ipeds_strict_exclusion_reasons,ipeds_reporting_scope,ipeds_instnm,ipeds_stabbr,ipeds_city,ipeds_zip,ipeds_opeflag,ipeds_sector,ipeds_cyactive,ipeds_act,ipeds_newid,ipeds_deathyr,ipeds_closedat,ipeds_postsec,ipeds_pseflag,ipeds_pset4flg,ipeds_rptmth,ipeds_f1systyp,ipeds_f1sysnam,ipeds_f1syscod,prch_ic,idx_ic,ipeds_source_path,ipeds_source_sha256,ipeds_source_member,prch_c,idx_c,prch_ef,idx_ef,prch_f,idx_f,prch_sfa,idx_sfa,prch_gr,idx_gr,prch_sa,idx_sa,prch_s,idx_s,prch_eap,idx_eap,prch_hr,idx_hr,prch_e12,idx_e12,prch_gr2,idx_gr2,prch_al,idx_al,prch_om,idx_om,prchtp_f,prch_adm,idx_adm
00101200,2024-2025,BIRMINGHAM-SOUTHERN COLLEGE,AL,Private/Non-Profit,35254-0002,14027.0,,start,2024,,exact_unique_inactive,exact_full_opeid_same_reference_year,1,100937,,1,0,year_unavailable,001012,1,0,1,1,0,False,exact_unique_inactive;anchor_year_unavailable;ipeds_merger_or_closure;ipeds_inactive;ipeds_not_full_title_iv;parent_child_metadata_unavailable,requires_scope_review,Birmingham-Southern College,AL,Birmingham,35254,5,2,3,D,-2,2024,07/31/2024,1,3,9,-2,-2,-2                                                                              ,-2,,,/Users/markjaysonfarol13/Projects/FSA/FSAVolumeReports_Panel-main/ResearchBuild/IPEDS/official_hd/HD2024.zip,d98425c123d7c0e872aec6e83960dfb501884818bf17385c340790f3d1f28345,HD2024.csv,-2,-2,,,,,,,,,,,,,,,,,-2,-2,,,,,,,,,
00101706,1999-2000,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,Public,,929777.43,,start,1999,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001017,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101706,2000-2001,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,Public,,1060727.55,,start,2000,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001017,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101706,2001-2002,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,Public,,1465812.8,,start,2001,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001017,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101706,2002-2003,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,Public,,2281004.05,,start,2002,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001017,1,1,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101706,2003-2004,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,Public,,1678655.22,,start,2003,,no_exact_match,none,0,,101347,0,1,ambiguous_or_unmatched,001017,1,2,2,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_ipeds_units_in_opeid_group;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;ipeds_merger_or_closure;ipeds_inactive,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103200,1999-2000,NORTHWEST ALABAMA COMMUNITY COLLEGE,AL,Public,35581,,,start,1999,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001032,0,0,1,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103700,2008-2009,SELMA UNIVERSITY,AL,Private/Non-Profit,36701,,,start,2008,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001037,0,0,1,1,0,False,no_exact_match;anchor_ambiguous_or_unmatched;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104754,2006-2007,TROY UNIVERSITY - DOTHAN,AL,Public,36082-0001,,,start,2006,,no_exact_match,none,0,,,0,0,ambiguous_or_unmatched,001047,1,1,2,0,0,False,no_exact_match;anchor_ambiguous_or_unmatched;multiple_fsa_rows_in_opeid_group;fsa_additional_location_identifier;parent_child_metadata_unavailable;activity_metadata_unavailable,requires_scope_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00104800,2005-2006,TROY STATE UNIVERSITY DOTHAN,AL,Public,36303-1575,,,start,2005,,exact_unique_inactive,exact_full_opeid_same_reference_year,1,102322,,1,0,ambiguous_or_unmatched,001048,1,0,1,1,0,False,exact_unique_inactive;anchor_ambiguous_or_unmatched;ipeds_merger_or_closure;ipeds_inactive,requires_scope_review,Troy State University-Dothan Campus,AL,Dothan,36304,1,1,3,C ,102368,2005,-2,1,3,9,-2,,,,,,/Users/markjaysonfarol13/Projects/FSA/FSAVolumeReports_Panel-main/ResearchBuild/IPEDS/official_hd/HD2005.zip,b6c9c0e4634f4404d0670c907e22964ea96932eb2cebbc2efb0759fe055ecbb7,hd2005.csv,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,-2,-2,,,,,,,,,,,
