family,opeid8,award_year,resolution_id
grants,00338000,1999-2000,grants_1999_3953
grants,00338000,2000-2001,grants_2000_3954
grants,00338000,2001-2002,grants_2001_3929
grants,00338000,2002-2003,grants_2002_3922
grants,00338000,2003-2004,grants_2003_3927
grants,00338000,2004-2005,grants_2004_3939
grants,00338100,1999-2000,grants_1999_3954
grants,00338100,2000-2001,grants_2000_3955
grants,00338100,2001-2002,grants_2001_3930
grants,00338100,2002-2003,grants_2002_3923
grants,00338100,2003-2004,grants_2003_3928
grants,00338100,2004-2005,grants_2004_3940
grants,00338200,1999-2000,grants_1999_3955
grants,00338200,2000-2001,grants_2000_3956
grants,00338200,2001-2002,grants_2001_3931
grants,00338200,2002-2003,grants_2002_3924
grants,00338200,2003-2004,grants_2003_3929
grants,00338200,2004-2005,grants_2004_3941
grants,00338300,1999-2000,grants_1999_3956
grants,00338300,2000-2001,grants_2000_3957
grants,00338300,2001-2002,grants_2001_3932
grants,00338300,2002-2003,grants_2002_3925
grants,00338300,2003-2004,grants_2003_3930
grants,00338300,2004-2005,grants_2004_3942
grants,00735300,1999-2000,grants_1999_2414
grants,00735300,2000-2001,grants_2000_2424
grants,00735300,2001-2002,grants_2001_2411
grants,00735300,2002-2003,grants_2002_2397
grants,00735300,2003-2004,grants_2003_2394
grants,00817200,2002-2003,grants_2002_1717
grants,00817200,2003-2004,grants_2003_1718
grants,00817200,2004-2005,grants_2004_1736
grants,00817200,2005-2006,grants_2005_1760
grants,02063800,2009-2010,grants_2009_2288
