family,unitid,award_year,record_disposition,resolution_id,grant__pell_recipients,grant__pell_disbursements,grant__acg_recipients,grant__acg_disbursements,grant__smart_recipients,grant__smart_disbursements,grant__teach_recipients,grant__teach_disbursements,grant__iasg_recipients,grant__iasg_disbursements
grants,158088,2009-2010,included_unique_family_record,grants_2009_2072,409,1354279.09,11,5708.0,0,0.0,,,,
grants,158769,2009-2010,included_unique_family_record,grants_2009_2077,431,1621138.16,0,0.0,0,0.0,,,,
grants,159443,2009-2010,included_unique_family_record,grants_2009_2086,865,2956322.84,77,43673.0,0,0.0,,,,
grants,160010,2009-2010,included_unique_family_record,grants_2009_2095,555,1889860.87,33,21199.0,0,0.0,,,,
grants,160667,2009-2010,included_unique_family_record,grants_2009_2102,537,1993467.47,9,6375.0,0,0.0,,,,
grants,160913,2009-2010,included_unique_family_record,grants_2009_2108,311,1040643.8,16,8788.0,0,0.0,,,,
grants,243221,2009-2010,included_unique_family_record,grants_2009_4500,8491,37354579.87,1786,1571892.53,511,1536869.49,,,,
grants,243203,2009-2010,included_unique_family_record,grants_2009_4502,392,1712812.25,6,7800.0,0,0.0,,,,
grants,243151,2009-2010,included_unique_family_record,grants_2009_4503,2791,12509651.02,728,577462.0,192,554999.88,,,,
grants,243179,2009-2010,included_unique_family_record,grants_2009_4504,3628,16386712.4,805,637063.0,141,416867.0,,,,
grants,243106,2009-2010,included_unique_family_record,grants_2009_4505,2575,11690440.89,568,449820.0,125,405900.0,,,,
grants,243115,2009-2010,included_unique_family_record,grants_2009_4506,3529,15971241.77,830,622743.0,114,351412.58,,,,
grants,243133,2009-2010,included_unique_family_record,grants_2009_4507,3467,15046295.84,682,532733.5,118,340725.8,,,,
grants,243142,2009-2010,included_unique_family_record,grants_2009_4508,2905,11636982.35,624,485005.84,0,0.0,,,,
grants,243212,2009-2010,included_unique_family_record,grants_2009_4509,2776,12355162.22,808,609106.75,65,189604.0,,,,
grants,243188,2009-2010,included_unique_family_record,grants_2009_4510,1276,5562988.13,345,255106.5,0,0.0,,,,
