check,passed,details
source_qaqc_summary_exists,True,/tmp/fsa-audit-rebuild/Checks/source_qc/source_qaqc_summary.csv
source::selected_panel_files_exists,True,/tmp/fsa-audit-rebuild/Checks/download_qc/selected_panel_files.csv
source::selected_files_exist,True,
source::workbook_profiles_exists,True,/tmp/fsa-audit-rebuild/Checks/source_qc/workbook_profiles.csv
source::selected_sheet_found_for_selected_files,True,
source::selected_years_contiguous_within_family,True,
dictionary_qaqc_summary_exists,True,/tmp/fsa-audit-rebuild/Checks/dictionary_qc/dictionary_qaqc_summary.csv
dictionary_has_no_unmapped_actionable_headers,True,unmapped_actionable_rows=0
panel_qaqc_summary_exists,True,/tmp/fsa-audit-rebuild/Checks/panel_qc/panel_qaqc_summary.csv
no_duplicate_panel_keys,True,duplicate_keys=0
descriptor_conflict_artifact_exists,True,/tmp/fsa-audit-rebuild/Checks/panel_qc/final_descriptor_conflicts.csv
descriptor_conflicts_are_auditable,True,conflict_rows=117036
descriptor_resolution_summary_exists,True,/tmp/fsa-audit-rebuild/Checks/panel_qc/final_descriptor_resolution_summary.csv
descriptor_manual_review_artifact_exists,True,/tmp/fsa-audit-rebuild/Checks/panel_qc/final_descriptor_manual_review.csv
descriptor_manual_review_rows_are_auditable,True,manual_review_rows=13097
descriptor_manual_review_workbook_exists,True,/tmp/fsa-audit-rebuild/Checks/panel_qc/manual_review_package/final_descriptor_manual_review_workbook.xlsx
priority_manual_review_workbook_exists,True,/tmp/fsa-audit-rebuild/Checks/panel_qc/manual_review_package/priority_manual_review_workbook.xlsx
analysis_ready_final_panel_exists,True,/tmp/fsa-audit-rebuild/Panels/final/fsa_volume_reports_panel_us_states_only_1999_2025.parquet
analysis_ready_final_panel_has_unique_keys,True,rows=186353 duplicate_keys=0
grants::year_coverage_matches_selected_files,True,"expected=['1999-2000', '2000-2001', '2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010', '2010-2011', '2011-2012', '2012-2013', '2013-2014', '2014-2015', '2015-2016', '2016-2017', '2017-2018', '2018-2019', '2019-2020', '2020-2021', '2021-2022', '2022-2023', '2023-2024', '2024-2025'] actual=['1999-2000', '2000-2001', '2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010', '2010-2011', '2011-2012', '2012-2013', '2013-2014', '2014-2015', '2015-2016', '2016-2017', '2017-2018', '2018-2019', '2019-2020', '2020-2021', '2021-2022', '2022-2023', '2023-2024', '2024-2025']"
campus_based::year_coverage_matches_selected_files,True,"expected=['2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010', '2010-2011', '2011-2012', '2012-2013', '2013-2014', '2014-2015', '2015-2016', '2016-2017', '2017-2018', '2018-2019', '2019-2020', '2020-2021', '2021-2022', '2022-2023', '2023-2024'] actual=['2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010', '2010-2011', '2011-2012', '2012-2013', '2013-2014', '2014-2015', '2015-2016', '2016-2017', '2017-2018', '2018-2019', '2019-2020', '2020-2021', '2021-2022', '2022-2023', '2023-2024']"
direct_loans::year_coverage_matches_selected_files,True,"expected=['1999-2000', '2000-2001', '2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010', '2010-2011', '2011-2012', '2012-2013', '2013-2014', '2014-2015', '2015-2016', '2016-2017', '2017-2018', '2018-2019', '2019-2020', '2020-2021', '2021-2022', '2022-2023', '2023-2024', '2024-2025'] actual=['1999-2000', '2000-2001', '2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010', '2010-2011', '2011-2012', '2012-2013', '2013-2014', '2014-2015', '2015-2016', '2016-2017', '2017-2018', '2018-2019', '2019-2020', '2020-2021', '2021-2022', '2022-2023', '2023-2024', '2024-2025']"
ffel::year_coverage_matches_selected_files,True,"expected=['1999-2000', '2000-2001', '2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010'] actual=['1999-2000', '2000-2001', '2001-2002', '2002-2003', '2003-2004', '2004-2005', '2005-2006', '2006-2007', '2007-2008', '2008-2009', '2009-2010']"
