,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
grant__pell_recipients,5118,5095,5077,5065,5085,5094,5139,5368,5377,5400,5475,5418,5375,5364,5363,5333,5282,5197,5093,5003,4916,4840,4775,4736,4674,4608
grant__pell_disbursements,5118,5095,5077,5065,5085,5094,5139,5368,5377,5400,5475,5418,5375,5364,5363,5333,5282,5197,5093,5003,4916,4840,4775,4736,4674,4608
grant__acg_recipients,0,0,0,0,0,0,0,2766,2916,2975,3075,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grant__acg_disbursements,0,0,0,0,0,0,0,2766,2916,2975,3075,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grant__smart_recipients,0,0,0,0,0,0,0,1405,1445,1446,1465,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grant__smart_disbursements,0,0,0,0,0,0,0,1405,1445,1446,1465,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grant__teach_recipients,0,0,0,0,0,0,0,0,0,495,722,5418,5375,5364,5363,5333,5282,5197,737,724,729,720,691,705,717,702
grant__teach_disbursements,0,0,0,0,0,0,0,0,0,495,722,5418,5375,5364,5363,5333,5282,5197,737,724,729,720,691,705,717,702
grant__iasg_recipients,0,0,0,0,0,0,0,0,0,0,0,5418,5375,5364,5363,5333,5282,5197,59,65,74,92,76,86,89,0
grant__iasg_disbursements,0,0,0,0,0,0,0,0,0,0,0,5418,5375,5364,5363,5333,5282,5197,59,65,74,92,76,86,89,0
campus__fws_recipients,0,0,3980,3971,4001,4002,3993,3873,3894,3856,3847,4002,3977,3961,3924,3918,3855,3778,3587,3604,3513,3494,3170,3143,2842,0
campus__fws_federal_award,0,0,3979,3964,4001,4002,3993,3873,3894,3856,3900,4002,3977,3961,3249,3918,3855,3778,3587,3444,3350,3329,3494,3464,2843,0
campus__fws_disbursements,0,0,3980,3971,4001,4002,3993,3873,3894,3856,3847,4002,3977,3961,3924,3918,3855,3778,3587,3604,3513,3494,3170,3143,2842,0
