opeid8,award_year,descriptor,raw_values,normalized_values
00100900,2001-2002,school,AUBURN UNIVERSITY | AUBURN UNIVERSITY-AUBURN,AUBURN UNIVERSITY | AUBURN UNIVERSITY AUBURN
00101300,1999-2000,school,CALHOUN COMMUNITY COLLEGE-DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101300,2000-2001,school,CALHOUN COMMUNITY COLLEGE-DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101300,2001-2002,school,CALHOUN COMMUNITY COLLEGE-DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE,CALHOUN COMMUNITY COLLEGE DECATUR | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101300,2008-2009,school,CALHOUN COMMUNITY COLLEGE | John C Calhoun State Community College,CALHOUN COMMUNITY COLLEGE | JOHN C CALHOUN STATE COMMUNITY COLLEGE
00101500,1999-2000,school,ENTERPRISE-OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE
00101500,2000-2001,school,ENTERPRISE-OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE OZARK COMMUNITY COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE
00101500,2001-2002,school,ENTERPRISE-OZARK COMMUNITY COLLEGE | ENTERPRISE STATE JR COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE OZARK COMMUNITY COLLEGE | ENTERPRISE STATE JR COLLEGE | ENTERPRISE STATE COMMUNITY COLLEGE
00101500,2002-2003,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise State Junior College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE STATE JUNIOR COLLEGE
00101500,2003-2004,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise State Junior College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE STATE JUNIOR COLLEGE
00101500,2004-2005,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise-Ozark Community College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE OZARK COMMUNITY COLLEGE
00101500,2005-2006,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise-Ozark Community College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE OZARK COMMUNITY COLLEGE
00101500,2007-2008,school,ENTERPRISE STATE COMMUNITY COLLEGE | Enterprise-Ozark Community College,ENTERPRISE STATE COMMUNITY COLLEGE | ENTERPRISE OZARK COMMUNITY COLLEGE
00101700,2001-2002,school,GADSDEN STATE COMMUNITY COLLEGE | GADSDEN STATE CMTY COLLEGE,GADSDEN STATE COMMUNITY COLLEGE | GADSDEN STATE CMTY COLLEGE
00101800,2001-2002,school,GEORGE C. WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL-DOTHAN,GEORGE C WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL DOTHAN
00101800,2002-2003,school,GEORGE C. WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL-DOTHAN,GEORGE C WALLACE COMMUNITY COLLEGE | GEO C WALLACE ST CMTY COL DOTHAN
00103000,2001-2002,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2002-2003,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2003-2004,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2004-2005,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2005-2006,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2006-2007,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2007-2008,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College | BISHOP STATE COMMUNITY COLLEGE,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
00103000,2008-2009,school,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS | Bishop State Community College | BISHOP STATE COMMUNITY COLLEGE,BISHOP STATE COMMUNITY COLLEGE MAIN CAMPUS | BISHOP STATE COMMUNITY COLLEGE
