opeid8,award_year,source_prefix,raw_postal_token,normalized_postal_token
00137400,2006-2007,grant,65111189,06511-1189
00137400,2007-2008,grant,65111189,06511-1189
00137400,2009-2010,grant,65111189,06511-1189
00137400,2010-2011,grant,65111189,06511-1189
00137400,2011-2012,grant,65111189,06511-1189
00137400,2012-2013,grant,65111189,06511-1189
00137400,2013-2014,grant,65111189,06511-1189
00137800,2006-2007,grant,60502490,06050-2490
00137800,2007-2008,grant,60502490,06050-2490
00137800,2009-2010,grant,60502490,06050-2490
00137800,2010-2011,grant,60502490,06050-2490
00137800,2011-2012,grant,60502490,06050-2490
00137800,2012-2013,grant,60502490,06050-2490
00137800,2013-2014,grant,60502490,06050-2490
00137900,2006-2007,grant,63204196,06320-4196
00137900,2007-2008,grant,63204196,06320-4196
00137900,2009-2010,grant,63204196,06320-4196
00137900,2010-2011,grant,63204196,06320-4196
00137900,2011-2012,grant,63204196,06320-4196
00137900,2012-2013,grant,63204196,06320-4196
00137900,2013-2014,grant,63204196,06320-4196
00138000,2006-2007,grant,68106826,06810-6826
00138000,2007-2008,grant,68106826,06810-6826
00138000,2009-2010,grant,68106826,06810-6826
00138000,2010-2011,grant,68106826,06810-6826
00138000,2011-2012,grant,68106826,06810-6826
00138000,2012-2013,grant,68106826,06810-6826
00138000,2013-2014,grant,68106826,06810-6826
00138500,2006-2007,grant,68245171,06824-5171
00138500,2007-2008,grant,68245171,06824-5171
00138500,2009-2010,grant,68245171,06824-5171
00138500,2010-2011,grant,68245171,06824-5171
00138500,2011-2012,grant,68245171,06824-5171
00138500,2012-2013,grant,68245171,06824-5171
00138500,2013-2014,grant,68245171,06824-5171
00138900,2006-2007,grant,64162005,06416-2005
00138900,2007-2008,grant,64162005,06416-2005
00138900,2009-2010,grant,64162005,06416-2005
00138900,2010-2011,grant,64162027,06416-2027
00138900,2011-2012,grant,64162027,06416-2027
00138900,2012-2013,grant,64162027,06416-2027
00138900,2013-2014,grant,64162027,06416-2027
00139200,2006-2007,grant,60451046,06045-1046
00139200,2007-2008,grant,60451046,06045-1046
00139200,2009-2010,grant,60451046,06045-1046
00139200,2010-2011,grant,60451046,06045-1046
00139200,2011-2012,grant,60451046,06045-1046
00139200,2012-2013,grant,60451046,06045-1046
00139200,2013-2014,grant,60451046,06045-1046
00139300,2006-2007,grant,63204498,06320-4498
00139300,2007-2008,grant,63204498,06320-4498
00139300,2009-2010,grant,63204498,06320-4498
00139300,2010-2011,grant,63204498,06320-4498
00139300,2011-2012,grant,63204498,06320-4498
00139300,2012-2013,grant,63204498,06320-4498
00139300,2013-2014,grant,63204498,06320-4498
00139700,2006-2007,grant,65161999,06516-1999
00139700,2007-2008,grant,65161999,06516-1999
00139700,2009-2010,grant,65161999,06516-1999
00139700,2010-2011,grant,65161999,06516-1999
00139700,2011-2012,grant,65161999,06516-1999
00139700,2012-2013,grant,65161999,06516-1999
00139700,2013-2014,grant,65161999,06516-1999
00139800,2006-2007,grant,60981747,06098-1747
00139800,2007-2008,grant,60981747,06098-1747
00139800,2009-2010,grant,60981747,06098-1747
00139800,2010-2011,grant,60981747,06098-1747
00139800,2011-2012,grant,60981747,06098-1747
00139800,2012-2013,grant,60981747,06098-1747
00139800,2013-2014,grant,60981747,06098-1747
00139900,2006-2007,grant,68541655,06854-1655
00139900,2007-2008,grant,68541655,06854-1655
00139900,2009-2010,grant,68541655,06854-1655
00139900,2010-2011,grant,68541655,06854-1655
00139900,2011-2012,grant,68541655,06854-1655
00139900,2012-2013,grant,68541655,06854-1655
00139900,2013-2014,grant,68541655,06854-1655
00140100,2006-2007,grant,67233240,06723-3240
00140100,2007-2008,grant,67233240,06723-3240
00140100,2009-2010,grant,67233240,06723-3240
00140100,2010-2011,grant,67233240,06723-3240
00140100,2011-2012,grant,67233240,06723-3240
00140100,2012-2013,grant,67233240,06723-3240
00140100,2013-2014,grant,67233240,06723-3240
00140200,2006-2007,grant,65181908,06518-1908
00140200,2007-2008,grant,65181908,06518-1908
00140200,2009-2010,grant,65181908,06518-1908
00140200,2010-2011,grant,65181908,06518-1908
00140200,2011-2012,grant,65181908,06518-1908
