award_year,descriptor,before,after,resolved_net
1999-2000,school,458,441,17
1999-2000,school_type,12,12,0
1999-2000,state,7,7,0
2000-2001,school,451,432,19
2000-2001,school_type,12,12,0
2000-2001,state,6,6,0
2001-2002,school,1582,1522,60
2001-2002,school_type,48,48,0
2001-2002,state,14,14,0
2001-2002,zip_code,477,477,0
2002-2003,school,908,875,33
2002-2003,school_type,39,39,0
2002-2003,state,8,8,0
2002-2003,zip_code,368,368,0
2003-2004,school,798,772,26
2003-2004,school_type,34,34,0
2003-2004,state,10,10,0
2003-2004,zip_code,300,301,-1
2004-2005,school,716,690,26
2004-2005,school_type,33,33,0
2004-2005,state,10,10,0
2004-2005,zip_code,256,256,0
2005-2006,school,646,621,25
2005-2006,school_type,31,31,0
2005-2006,state,12,12,0
2005-2006,zip_code,215,215,0
2006-2007,school,293,276,17
2006-2007,school_type,14,14,0
2006-2007,state,1,1,0
2006-2007,zip_code,541,61,480
2007-2008,school,306,285,21
2007-2008,school_type,19,19,0
2007-2008,state,5,5,0
2007-2008,zip_code,544,64,480
2008-2009,school,251,234,17
2008-2009,school_type,19,19,0
2008-2009,zip_code,31,31,0
2009-2010,school,216,202,14
2009-2010,school_type,19,19,0
2009-2010,state,2,2,0
2009-2010,zip_code,571,46,525
2010-2011,school,299,285,14
2010-2011,school_type,21,21,0
2010-2011,state,6,6,0
2010-2011,zip_code,636,102,534
2011-2012,school,230,215,15
2011-2012,school_type,9,9,0
2011-2012,state,4,4,0
2011-2012,zip_code,569,45,524
2012-2013,school,196,185,11
2012-2013,school_type,12,12,0
2012-2013,state,1,1,0
2012-2013,zip_code,565,41,524
2013-2014,school,163,154,9
2013-2014,school_type,28,28,0
2013-2014,state,3,3,0
2013-2014,zip_code,52,52,0
2014-2015,school,167,160,7
2014-2015,school_type,16,16,0
2014-2015,state,6,6,0
2014-2015,zip_code,475,46,429
2015-2016,school,142,136,6
2015-2016,school_type,17,17,0
2015-2016,state,6,6,0
2015-2016,zip_code,466,43,423
2016-2017,school,129,122,7
2016-2017,school_type,17,17,0
2016-2017,state,3,3,0
2016-2017,zip_code,448,34,414
2017-2018,school,134,123,11
2017-2018,school_type,32,32,0
2017-2018,state,2,2,0
2017-2018,zip_code,1,1,0
2018-2019,school,132,121,11
2018-2019,school_type,28,28,0
2018-2019,state,2,2,0
2018-2019,zip_code,49,49,0
2019-2020,school,104,98,6
2019-2020,school_type,21,21,0
2019-2020,state,3,3,0
2019-2020,zip_code,430,38,392
2020-2021,school,108,102,6
2020-2021,school_type,20,20,0
2020-2021,state,2,2,0
2020-2021,zip_code,43,43,0
2021-2022,school,46,43,3
2021-2022,school_type,16,16,0
2021-2022,state,1,1,0
2021-2022,zip_code,44,44,0
2022-2023,school,55,55,0
2022-2023,school_type,19,19,0
2022-2023,state,3,3,0
2022-2023,zip_code,37,37,0
2023-2024,school,34,34,0
2023-2024,school_type,19,19,0
2023-2024,state,2,2,0
2023-2024,zip_code,26,26,0
