year,kind,vintage_status,dictionary_filename,source_url,sha256,member,path,total_variables,reviewed_variables,opeid_present,opeflag_present,act_present,cyactive_present,sector_present,parent_child_fields_json,introduction
1999,HD,selected_review_vintage,IC99_HD_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/IC99_HD_Dict.zip,ebd70999fb38f115994cc8c727595fd069c20e558cca6bc7a92ca5975ec2e9f3,ic99_hd.html,ResearchBuild/IPEDS/annual_documentation/IC99_HD_Dict.zip,53,10,True,True,True,True,True,"[""PRCH_IC"", ""IDX_IC""]",Data Dictionary
2000,HD,selected_review_vintage,FA2000HD_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FA2000HD_Dict.zip,6fdc57a246bfeda3e17b23c837de6f19cbebdf9fc6818ac64ca71dd9a4ef93fc,fa2000hd.html,ResearchBuild/IPEDS/annual_documentation/FA2000HD_Dict.zip,103,20,True,True,True,True,True,"[""PRCH_C"", ""IDX_C"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]",Data Dictionary
2001,HD,selected_review_vintage,FA2001HD_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FA2001HD_Dict.zip,8183db0d84566c0e64e1e381ebebaae44489d3c2508e0bfcdbdb294620f3e881,fa2001hd.html,ResearchBuild/IPEDS/annual_documentation/FA2001HD_Dict.zip,128,26,True,True,True,True,True,"[""PRCH_C"", ""IDX_C"", ""PRCH_SA"", ""IDX_SA"", ""PRCH_S"", ""IDX_S"", ""PRCH_EAP"", ""IDX_EAP"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]",Data Dictionary
2002,HD,selected_review_vintage,HD2002_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2002_Dict.zip,b5be2b13a8f6cdf95747cf842b5341271cf6e766c237702f30e284a1f7be5e3b,hd2002.html,ResearchBuild/IPEDS/annual_documentation/HD2002_Dict.zip,132,27,True,True,True,True,True,"[""PRCH_C"", ""IDX_C"", ""PRCH_SA"", ""IDX_SA"", ""PRCH_S"", ""IDX_S"", ""PRCH_EAP"", ""IDX_EAP"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]",Data Dictionary
2003,HD,selected_review_vintage,HD2003_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2003_Dict.zip,10fe9e99741093659ffed945afd479b89133d0836ea47f6f7235a2610f9fbf10,hd2003.html,ResearchBuild/IPEDS/annual_documentation/HD2003_Dict.zip,130,27,True,True,True,True,True,"[""PRCH_C"", ""IDX_C"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_SA"", ""IDX_SA"", ""PRCH_S"", ""IDX_S"", ""PRCH_EAP"", ""IDX_EAP"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]",Data Dictionary
2004,FLAGS,selected_review_vintage,FLAGS2004_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2004_Dict.zip,7cd9004d57ac14203f915f513cf7403f0fc793312886df9a931679049509fa8d,flags2004.xlsx,ResearchBuild/IPEDS/annual_documentation/FLAGS2004_Dict.zip,98,21,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_SA"", ""IDX_SA"", ""PRCH_S"", ""IDX_S"", ""PRCH_EAP"", ""IDX_EAP"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]","File Documentation for the IPEDS  response status data for all survey components, 2004
(Final/revised release)

Filename | FLAGS2004
  Provisional release: | March, 2006
  Revised release: | April, 2020

Overview | This file contains response status information for each survey component for every institution in the 2004 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting). Revised release identifies institutions that submitted revisions  for Completions 2003-04, Fall 2004 and 12-month 2003-04 enrollment,  Student Financial Aid 2003-04, Graduation Rates 2004,  Finance, Fiscal Year 2004 and Human Resources 2004. In 2004 Human resource data was collected as 3 separate surveys, Salaries, Fall Staff and Employees by Assigned Position 2004, so response and revision status reflect each survey . Also in 2004 Fall enrollment and 12-month enrollment were collected as one survey, so response and revision status are combined.

Note | Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on provisional data. 
Contents of spreadsheet

Varlist | Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.
Statistics | This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. "
2004,HD,selected_review_vintage,HD2004_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2004_Dict.zip,86d9df590dd1de0ac71d16c628f045e0a0fe7e637788b7019de35acc146ae464,hd2004.xlsx,ResearchBuild/IPEDS/annual_documentation/HD2004_Dict.zip,45,13,True,True,True,True,True,[],"File Documentation for the IPEDS Directory, 2004-05
(Provisional/final release)

Filename | HD2004
 Provisional release: | March, 2006
 Final release: | The variables in this data file were not part of the prior year revisions system so the provisional release is the final release

Overview | This file contains directory information for every institution in the 2004-05 IPEDS universe.  Includes name, address, city, state, zip code and various URL links to the institution's home page, admissions and the  financial aid office.  Identifies institutions as currently active, institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory.  It also includes variables derived from the 2004-05 Institutional Characteristics survey, such as control and level of institution, highest level and highest degree offered and Carnegie classifications.
Note: | Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on provisional data.  These data were not available in the 2004-05 Prior year revision system, so the provisional version is the final version for 2004-05.


Contents of spreadsheet

Varlist | Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2005,FLAGS,selected_review_vintage,FLAGS2005_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2005_Dict.zip,74c257a3977b40e0e3e5288188ee78063443448274a9e2db566a15bf5d96ddba,flags2005.xlsx,ResearchBuild/IPEDS/annual_documentation/FLAGS2005_Dict.zip,72,13,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_HR"", ""IDX_HR"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]","File Documentation for the IPEDS  response status data for all survey components, 2005
(Final/revised release)

Filename | FLAGS2005
  Provisional release: |  May, 2007
  Revised release: |  April, 2020

Overview | This file contains response status information for each survey component for every institution in the 2005 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting). Revised release identifies institutions that submitted revisions  for Completions 2004-05, Fall 2005 and 2004-05 12-month enrollment, Human Resources, 2005,  Student Financial Aid 2004-05, Graduation Rates 2005,  and  Finance, Fiscal Year 2005.  In 2005, Fall enrollment and 12-month enrollment were collected as one survey, so response and revision status are combined.

Note | Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on provisional data. 
Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2005,HD,selected_review_vintage,HD2005_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2005_Dict.zip,09ed6d6ba59250a656453f212aeca776b57108b84aa8b153659bd62fb89008f4,hd2005.xlsx,ResearchBuild/IPEDS/annual_documentation/HD2005_Dict.zip,54,14,True,True,True,True,True,[],"File Documentation for the IPEDS Directory, 2005-06
(Provisional/final release)

Filename | HD2005
 Provisional release: | May, 2007
 Final release: | The variables in this data file were not part of the prior year revisions system so the provisional release is the final release

Overview | This file contains directory information for every institution in the 2005-06 IPEDS universe.  Includes name, address, city, state, zip code and various URL links to the institution's home page, admissions and the  financial aid office.  Identifies institutions as currently active, institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory.  It also includes variables derived from the 2006-07 Institutional Characteristics survey, such as control and level of institution, highest level and highest degree offered and Carnegie classifications.
Note: | Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on provisional data.  These data were not available in the 2005-06 Prior year revision system, so the provisional version is the final version for 2005-06.


Contents of spreadsheet

Varlist | Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable."
2006,FLAGS,selected_review_vintage,FLAGS2006_Dict.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2006_Dict.zip,6a1dab0e57b93aeb509ad187e24e1cb248997a02bd3d8e52d4bfbe5f5d57eee2,flags2006.xlsx,ResearchBuild/IPEDS/annual_documentation/FLAGS2006_Dict.zip,79,14,False,False,False,False,False,"[""PRCH_C"", ""IDX_C"", ""PRCH_HR"", ""IDX_HR"", ""PRCH_EF"", ""IDX_EF"", ""PRCH_F"", ""IDX_F"", ""PRCH_SFA"", ""IDX_SFA"", ""PRCH_GR"", ""IDX_GR""]","File Documentation for the IPEDS  response status data for all survey components, 2006
(Final/revised release)

Filename | FLAGS2006
  Provisional release: | June, 2008
  Revised release: | May, 2018

Overview | This file contains response status information for each survey component for every institution in the 2006 IPEDS universe. This file will determine institutions that have responded; institutions that did not respond and have imputed data; survey applicability.  It will also identify institutions whose data represents multiple campuses (parent/child reporting). Revised release identifies institutions that submitted revisions  for Completions, Fall and 12-month enrollment, Human Resources, 2006,  Student Financial Aid 2005-06, Graduation Rates 2006,  and  Finance, Fiscal Year 2006.  In 2006, Fall enrollment and 12-month enrollment were collected as one survey, so response and revision status are combined.

Note | Preliminary release data have been edited but are subject to further NCES quality control procedures. Imputed data for nonresponding institutions are not included. These data are used for First Look (Preliminary Data) publications. Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) publications. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look reports based on preliminary and provisional data. 
Contents of spreadsheet

Varlist | Variabe list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).
Description | Long description or glossary definition of a variable. 
Frequencies | This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.
Statistics | This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. "
