event_id,programs,effective_date,first_affected_award_year_start,last_affected_award_year_start,event_type,confidence,source_publication_date,source_title,source_url,retrieved_on,interpretation,coding_rule,evidence_excerpt,supporting_source_urls_json
acg_smart_start,acg;smart,2006-07-01,2006,,program_start,confirmed_policy,2006-07-19,ACG and National SMART implementation,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2006-07-19/summary-update-ifap-web-site-frequently-asked-questions-acg-and-national-smart-grant-awards,2026-09-22,"HERA created ACG and National SMART effective July 1, 2006. Their appearance in AY2006-07 agrees with the legal start.","Identify earlier absent headers as pre-program context; preserve NA, not an imputed institution-level zero.",,[]
acg_smart_expansion,acg;smart,2009-07-01,2009,2010,eligibility_change,confirmed_policy,2009-08-31,ACG and National SMART Grant Participation,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2009-08-31/grants-subject-acg-and-national-smart-grant-participation,2026-09-22,Changes effective July 2009 expanded eligibility and altered grade-level/academic-year rules; a stable column name does not mean stable eligibility.,Flag an eligibility-regime break; do not splice apparent population changes away.,,[]
acg_smart_end,acg;smart,2011-07-01,2011,,program_end,confirmed_policy,,"2010-11 FSA Handbook Volume 1, Chapter 6",https://fsapartners.ed.gov/sites/default/files/2021-03/1011FSAHbkVol1.pdf,2026-09-22,Programs were not reauthorized and ended with AY2010-11; both source headers end in that year.,Preserve the historical measures and document post-2010 structural absence separately from within-program missingness.,Because they have not been reauthorized,[]
teach_start,teach,2008-07-01,2008,,program_start,confirmed_policy,2008-06-27,"TEACH student processing operational July 1, 2008",https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2008-06-27/summary-ccraa-operational-implementation-guidance-cps-cod-system-and-edesuite-student-aspects-teach-grant-processing-operational-july-1-2008,2026-09-22,CCRAA authorized TEACH beginning AY2008-09. Conditional service grants may later convert to unsubsidized loans.,"TEACH volume is grant disbursement at report vintage, not proof of eventual grant retention; do not infer conversions from this panel.",,[]
teach_servicing_2021,teach,2021-07-01,2021,,servicing_change,confirmed_policy,2021-07-01,"TEACH regulatory changes effective July 1, 2021",https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2021-07-01/guidance-and-operational-information-teach-grant-regulatory-changes-effective-july-1-2021-ea-id-grants-21-06,2026-09-22,Rules changed service/conversion processes and terminology; FSA explicitly says front-end grant processing did not change.,Record policy context without inventing a new volume definition or a dropped variable.,,[]
iasg_start,iasg,2010-07-01,2010,,program_start,confirmed_policy,2011-06-07,"2010-11 grant reporting deadlines, Table C",https://fsapartners.ed.gov/sites/default/files/attachments/fregisters/FR060711NoticeofdeadlinedatesforFSEOGFWSfor1011awardyear.pdf,2026-09-22,"IASG first disbursement date is July 1, 2010. Separate IASG headers start AY2010-11.",Keep IASG separately through AY2023-24; do not assume recipients overlap with ordinary Pell recipients.,,[]
iasg_pact_2023,iasg;pell,,2023,2023,eligibility_change,confirmed_policy,2024-03-15,GRANTS-24-03: PACT and Special Rule,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2024-03-15/pact-act-impacts-iraq-and-afghanistan-service-grants-iasg-eligibility-and-processing-2023-24-award-year-updated-pell-grant-eligibility-dependents-certain-deceased-servicemembers-and-public,2026-09-22,PACT-related survivor eligibility expansion applied to AY2023-24 IASG and additional Pell; processing required institution/VA documentation.,Retain 2023-24 as a distinct eligibility regime; no separate survivor subgroup is available in the volume file.,,[]
iasg_into_pell_2024,iasg;pell,2024-07-01,2024,,program_reclassification,confirmed_policy,2024-03-15,GRANTS-24-03: PACT and Special Rule,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2024-03-15/pact-act-impacts-iraq-and-afghanistan-service-grants-iasg-eligibility-and-processing-2023-24-award-year-updated-pell-grant-eligibility-dependents-certain-deceased-servicemembers-and-public,2026-09-22,"FAFSA Simplification replaced separate IASG with maximum Pell under the Special Rule, including legacy eligibility provisions. IASG headers disappear in AY2024-25 while Pell now includes eligible survivors.","An absent IASG column is not aid lost. Keep historical IASG; flag Pell composition break. Pell+IASG dollars can be an explicitly labeled related-program series, not a definition-invariant series.",,[]
sequester_2013,teach;iasg;fws;fseog;subsidized;unsubsidized;parent_plus;grad_plus;plus,2013-03-01,2012,,funding_change,confirmed_policy,2013-03-01,Impact of Sequestration on Title IV,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2013-03-01/ope-announcements-subject-impact-sequestration-title-iv-student-financial-assistance-programs,2026-09-22,Sequestration reduced TEACH/IASG awards and increased Direct loan fees according to first-disbursement rules; campus allocations were affected in AY2013-14. Pell was exempt.,Flag fiscal-year/disbursement-date regimes; never rescale annual observations by a single assumed rate.,,[]
sequester_2013_corrected_rates,teach;iasg,2013-03-02,2012,2013,funding_revision,confirmed_policy,2013-05-31,TEACH: further changes to sequestration reductions,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2013-05-31/grants-subject-important-update-teach-grant-further-changes-sequestration-required-reductions,2026-09-22,Initial 2013 reduction guidance was revised: TEACH became 6.0% and IASG remained 10.0% for the applicable first-disbursement cohort; schools were instructed to correct earlier amounts.,Historical release vintage matters; do not apply obsolete initial 12.6%/37.8% figures.,,[]
pell_two_awards_2009,pell,2009-07-01,2009,2010,award_design,confirmed_policy,2010-08-03,GEN-10-14: two Pell Grants in one award year,https://fsapartners.ed.gov/knowledge-center/library/dear-colleague-letters/2010-08-03/gen-10-14-subject-implementation-two-federal-pell-grants-one-award-year,2026-09-22,Students could receive up to two Scheduled Awards under the rules for AY2009-10 and AY2010-11.,Average dollars per recipient may change mechanically; yearly dollars are not capped at one Scheduled Award per recipient.,,[]
pell_second_award_repeal,pell,2011-07-01,2011,2016,award_design,confirmed_policy,2011-04-27,P-11-02: 2011 Pell changes,https://fsapartners.ed.gov/fsa-print/publication/2803,2026-09-22,Public Law 112-10 repealed the second Scheduled Award provision beginning AY2011-12.,"Mark a break after 2010-11, while retaining the Pell column unchanged.",,[]
pell_lifetime_600,pell,2012-07-01,2012,,eligibility_change,confirmed_policy,2013-05-16,GEN-13-14: Pell duration and LEU,https://fsapartners.ed.gov/fsa-print/publication/2961,2026-09-22,"Beginning AY2012-13 lifetime Pell eligibility is limited to 12 semesters or 600% of a Scheduled Award, including prior awards.",Eligibility restriction can change counts without a reporting-schema change.,,[]
pell_year_round_restore,pell;iasg,2017-07-01,2017,,award_design,confirmed_policy,2017-06-19,GEN-17-06: Year-Round Pell,https://fsapartners.ed.gov/knowledge-center/library/dear-colleague-letters/2017-06-19/gen-17-06-subject-implementation-year-round-pell-grants,2026-09-22,"Year-Round Pell restored additional eligibility up to 150% beginning AY2017-18, initially requiring at least half-time for the additional portion. IASG calculation follows year-round Pell in the handbook.",Distinguish this 150% regime from the earlier 200% regime; count and dollar comparability differ.,,"[""https://fsapartners.ed.gov/sites/default/files/2021-02/Volume%203%20-%20Calculating%20Awards%20%26%20Packaging%20Master%20File.pdf""]"
pell_closed_school_restoration,pell,2017-03-26,2016,,eligibility_change,confirmed_policy,2017-04-03,COD implementation of Pell restoration for closed schools,https://fsapartners.ed.gov/knowledge-center/library/electronic-announcements/2017-04-03/grants-subject-guidance-cod-processing-pell-grant-restoration-students-who-attended-closed-schools,2026-09-22,"COD implemented restoration of Pell eligibility used at eligible closed schools during March 24-26, 2017.",Closures can affect subsequent eligibility as well as institutional identity; no automatic historical row reassignment.,,[]
pell_cfh_2018,pell,2018-07-01,2018,2023,eligibility_change,confirmed_policy,2018-11-19,Children of Fallen Heroes Scholarship Act,https://fsapartners.ed.gov/fsa-print/publication/9300,2026-09-22,Beginning AY2018-19 certain Pell-eligible children of deceased public safety officers receive maximum Pell; later incorporated into the 2024 Special Rule.,"CFH is within Pell, not a separately observed grant column.",,[]
pell_prison_2023,pell,2023-07-01,2023,,eligibility_change,confirmed_policy,,Prison Education Programs,https://fsapartners.ed.gov/knowledge-center/topics/prison-education-programs,2026-09-22,Pell eligibility restored for qualifying incarcerated students in approved prison education programs under FAFSA Simplification.,Flag an expanded eligible population; earlier experimental-site participation means this is not the first possible prison-related Pell everywhere.,,[]
pell_sai_2024,pell;fseog;fws;subsidized,2024-07-01,2024,,need_analysis_change,confirmed_policy,2023-08-04,GEN-23-11: FAFSA Simplification 2024-25,https://fsapartners.ed.gov/fsa-print/publication/1005218,2026-09-22,"SAI replaced EFC; Pell uses maximum, minimum, or calculated eligibility, including poverty-based pathways. Family/asset and need-analysis rules changed.","Do not interpret unchanged Pell labels as invariant eligibility, or compare aid-to-EFC with aid-to-SAI as the same measure.",,[]
pell_intensity_2024,pell,2024-07-01,2024,,award_design,confirmed_policy,2023-08-04,GEN-23-11: FAFSA Simplification 2024-25,https://fsapartners.ed.gov/fsa-print/publication/1005218,2026-09-22,Enrollment intensity replaces discrete part-time Pell enrollment categories; additional Year-Round Pell no longer requires half-time enrollment.,Flag an award-calculation break; counts and mean award sizes can change without an enrollment change.,,[]
