resolution_id,family,award_year,filename,source_sha256,source_sheet,source_excel_row,expected_raw_opeid,expected_school,expected_state,expected_zip_code,source_url,resolution_status,recovered_opeid8,resolution_method,evidence_json,candidate_opeids_json,candidate_unitids_json,same_family_target_key_count,scope_review_required,reviewed_by,reviewed_at,notes,pell_recipients,pell_disbursements,acg_recipients,acg_disbursements,smart_recipients,smart_disbursements,verified_unitid,unitid_resolution_status,unitid_resolution_method,unitid_evidence_json,existing_grant_unitid_collision_count
grants_1999_115,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,115,,FOOTHILLS TECHNICAL INSTITUTE,AR,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,unresolved,,insufficient_contemporaneous_full_id_corroboration,"[{""kind"":""unassigned_annual_hd_candidate"",""ipeds_year"":1999,""unitid"":106935,""opeid8"":""00531900"",""instnm"":""FOOTHILLS TECHNICAL INSTITUTE"",""state"":""AR"",""zip_code"":""72143"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""00531900""]",[106935],,True,Codex evidence review,2026-09-23,"No same-year independent FSA full-ID record verifies the blank row. A directory name candidate alone is not an approved recovery. Official Federal School Codes confirms FAFSA 005319, but a FAFSA code is not a full OPEID and no full-ID source corroboration was found. Avoid substituting the later merged Arkansas State Beebe reporting unit.",153,271623.56,,,,,,,,,
grants_1999_122,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,122,,QUAPAW TECHNICAL INSTITUTE,AR,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,unresolved,,insufficient_contemporaneous_full_id_corroboration,"[{""kind"":""unassigned_annual_hd_candidate"",""ipeds_year"":1999,""unitid"":107673,""opeid8"":""02120500"",""instnm"":""QUAPAW TECHNICAL INSTITUTE"",""state"":""AR"",""zip_code"":""71913"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""02120500""]",[107673],,True,Codex evidence review,2026-09-23,"No same-year independent FSA full-ID record verifies the blank row. A directory name candidate alone is not an approved recovery. The archived official Federal School Codes lists FAFSA 010848 while contemporaneous HD reports OPEID 02120500, demonstrating that school-code padding is unsafe. Quapaw later merged into National Park; historical grant reporting identity needs full-ID corroboration.",113,218092,,,,,,,,,
grants_1999_1850,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,1850,,LOUISIANA TECHNICAL COLLEGE - SOWELA CAMPUS,LA,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,unresolved,,insufficient_contemporaneous_full_id_corroboration,"[{""kind"":""unassigned_annual_hd_candidate"",""ipeds_year"":1999,""unitid"":160579,""opeid8"":""00546700"",""instnm"":""LOUISIANA TECHNICAL COLLEGE-SOWELA CAMPUS"",""state"":""LA"",""zip_code"":""70615"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""00546700""]",[160579],,True,Codex evidence review,2026-09-23,No same-year independent FSA full-ID record verifies the blank row. A directory name candidate alone is not an approved recovery. HD changes from 00546700(1999/2000) to 00548836(2001/2002); the later independent college must not be carried backward.,394,770510,,,,,,,,,
grants_1999_2414,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,2414,,NEI COLLEGE OF TECHNOLOGY,MN,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,approved,00735300,same_year_fsa_full_id_plus_official_hd,"[{""kind"":""same_award_year_fsa_full_opeid"",""family"":""ffel"",""filename"":""FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""url"":""https://studentaid.gov/sites/default/files/FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""sha256"":""4d41deb1a1d2fd4ba3f53728c03a3a848aeb73abab3cf64b644c2ff41d582243"",""sheet"":""AY1999-2000"",""excel_row"":2175,""raw_opeid"":""00735300"",""opeid8"":""00735300"",""school"":""NEI COLLEGE OF TECHNOLOGY"",""state"":""MN"",""zip_code"":""554212974"",""award_year"":""1999-2000""},{""kind"":""same_year_official_ipeds_directory"",""ipeds_year"":1999,""unitid"":174516,""opeid8"":""00735300"",""instnm"":""NEI COLLEGE OF TECHNOLOGY"",""city"":""COLUMBIA HEIGHTS"",""state"":""MN"",""zip_code"":""554219990"",""act"":""A"",""cyactive"":""1"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""00735300""]",[174516],0,False,Codex evidence review,2026-09-23,Recover the published grant row identity only; preserve all source measures and raw missing ID. The full OPEID is independently printed on a same-award-year FSA report and uniquely present in the annual HD with compatible institution/state/location; no grant row already has this key. No parent aid is copied or allocated.,193,277862,,,,,,,,,
grants_1999_2416,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,2416,,HERZING COLLEGE,MN,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,unresolved,,same_name_existing_grant_row_collision,,"[""01101700""]",[],1,True,Codex evidence review,2026-09-23,"Same workbook already contains Herzing College,MN 01101700 with distinct Pell measures. Blank row lacks ZIP; assigning that ID would collapse distinct rows or double count. Require campus-specific historical evidence.",307,418989,,,,,,,,,
grants_1999_3953,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,3953,,UNIVERSITY OF PITTSBURGH - BRADFORD,PA,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,approved,00338000,same_year_fsa_full_id_plus_official_hd,"[{""kind"":""same_award_year_fsa_full_opeid"",""family"":""ffel"",""filename"":""FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""url"":""https://studentaid.gov/sites/default/files/FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""sha256"":""4d41deb1a1d2fd4ba3f53728c03a3a848aeb73abab3cf64b644c2ff41d582243"",""sheet"":""AY1999-2000"",""excel_row"":3413,""raw_opeid"":""00338000"",""opeid8"":""00338000"",""school"":""UNIVERSITY OF PITTSBURGH - BRADFORD"",""state"":""PA"",""zip_code"":""167012898"",""award_year"":""1999-2000""},{""kind"":""same_year_official_ipeds_directory"",""ipeds_year"":1999,""unitid"":215266,""opeid8"":""00338000"",""instnm"":""UNIVERSITY OF PITTSBURGH-BRADFORD"",""city"":""BRADFORD"",""state"":""PA"",""zip_code"":""16701"",""act"":""A"",""cyactive"":""1"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""00338000""]",[215266],0,True,Codex evidence review,2026-09-23,"Recover the published grant row identity only; preserve all source measures and raw missing ID. The full OPEID is independently printed on a same-award-year FSA report and uniquely present in the annual HD with compatible institution/state/location; no grant row already has this key. No parent aid is copied or allocated. The source grant report separately lists Pittsburgh main campus 00337900; candidate is the specifically named branch, and contemporaneous FFEL distinguishes all campuses. HD 2005 changes branch OPEIDs, so the recovery is confined to the recorded award year.",451,809170.92,,,,,,,,,
grants_1999_3954,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,3954,,UNIVERSITY OF PITTSBURGH - GREENSBURG,PA,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,approved,00338100,same_year_fsa_full_id_plus_official_hd,"[{""kind"":""same_award_year_fsa_full_opeid"",""family"":""ffel"",""filename"":""FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""url"":""https://studentaid.gov/sites/default/files/FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""sha256"":""4d41deb1a1d2fd4ba3f53728c03a3a848aeb73abab3cf64b644c2ff41d582243"",""sheet"":""AY1999-2000"",""excel_row"":3414,""raw_opeid"":""00338100"",""opeid8"":""00338100"",""school"":""UNIVERSITY OF PITTSBURGH - GREENSBURG"",""state"":""PA"",""zip_code"":""156015898"",""award_year"":""1999-2000""},{""kind"":""same_year_official_ipeds_directory"",""ipeds_year"":1999,""unitid"":215275,""opeid8"":""00338100"",""instnm"":""UNIVERSITY OF PITTSBURGH-GREENSBURG"",""city"":""GREENSBURG"",""state"":""PA"",""zip_code"":""15601"",""act"":""A"",""cyactive"":""1"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""00338100""]",[215275],0,True,Codex evidence review,2026-09-23,"Recover the published grant row identity only; preserve all source measures and raw missing ID. The full OPEID is independently printed on a same-award-year FSA report and uniquely present in the annual HD with compatible institution/state/location; no grant row already has this key. No parent aid is copied or allocated. The source grant report separately lists Pittsburgh main campus 00337900; candidate is the specifically named branch, and contemporaneous FFEL distinguishes all campuses. HD 2005 changes branch OPEIDs, so the recovery is confined to the recorded award year.",478,858178,,,,,,,,,
grants_1999_3955,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,3955,,UNIVERSITY OF PITTSBURGH AT JOHNSTOWN,PA,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,approved,00338200,same_year_fsa_full_id_plus_official_hd,"[{""kind"":""same_award_year_fsa_full_opeid"",""family"":""ffel"",""filename"":""FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""url"":""https://studentaid.gov/sites/default/files/FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""sha256"":""4d41deb1a1d2fd4ba3f53728c03a3a848aeb73abab3cf64b644c2ff41d582243"",""sheet"":""AY1999-2000"",""excel_row"":3415,""raw_opeid"":""00338200"",""opeid8"":""00338200"",""school"":""UNIVERSITY OF PITTSBURGH AT JOHNSTOWN"",""state"":""PA"",""zip_code"":""159042990"",""award_year"":""1999-2000""},{""kind"":""same_year_official_ipeds_directory"",""ipeds_year"":1999,""unitid"":215284,""opeid8"":""00338200"",""instnm"":""UNIVERSITY OF PITTSBURGH-JOHNSTOWN"",""city"":""JOHNSTOWN"",""state"":""PA"",""zip_code"":""15904"",""act"":""A"",""cyactive"":""1"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""00338200""]",[215284],0,True,Codex evidence review,2026-09-23,"Recover the published grant row identity only; preserve all source measures and raw missing ID. The full OPEID is independently printed on a same-award-year FSA report and uniquely present in the annual HD with compatible institution/state/location; no grant row already has this key. No parent aid is copied or allocated. The source grant report separately lists Pittsburgh main campus 00337900; candidate is the specifically named branch, and contemporaneous FFEL distinguishes all campuses. HD 2005 changes branch OPEIDs, so the recovery is confined to the recorded award year.",867,1549692.77,,,,,,,,,
grants_1999_3956,grants,1999-2000,AY1999-00Pell.xls,2ef610addfec02c0446d719f3ea6a034dd5cf3cdc77d990c767f7430840075b7,AY 1999-2000,3956,,UNIVERSITY OF PITTSBURGH AT TITUSVILLE,PA,,https://studentaid.gov/sites/default/files/AY1999-00Pell.xls,approved,00338300,same_year_fsa_full_id_plus_official_hd,"[{""kind"":""same_award_year_fsa_full_opeid"",""family"":""ffel"",""filename"":""FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""url"":""https://studentaid.gov/sites/default/files/FFEL_AwardYr_Summary_AY1999_2000_All.xls"",""sha256"":""4d41deb1a1d2fd4ba3f53728c03a3a848aeb73abab3cf64b644c2ff41d582243"",""sheet"":""AY1999-2000"",""excel_row"":3416,""raw_opeid"":""00338300"",""opeid8"":""00338300"",""school"":""UNIVERSITY OF PITTSBURGH AT TITUSVILLE"",""state"":""PA"",""zip_code"":""163542010"",""award_year"":""1999-2000""},{""kind"":""same_year_official_ipeds_directory"",""ipeds_year"":1999,""unitid"":215309,""opeid8"":""00338300"",""instnm"":""UNIVERSITY OF PITTSBURGH-TITUSVILLE"",""city"":""TITUSVILLE"",""state"":""PA"",""zip_code"":""16354"",""act"":""A"",""cyactive"":""1"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/IC99_HD.zip"",""sha256"":""98e495aee92ffc857afdf182b692a006a955020172e9d529846a6e1a5876ca75"",""member"":""ic99_hd.csv""}]","[""00338300""]",[215309],0,True,Codex evidence review,2026-09-23,"Recover the published grant row identity only; preserve all source measures and raw missing ID. The full OPEID is independently printed on a same-award-year FSA report and uniquely present in the annual HD with compatible institution/state/location; no grant row already has this key. No parent aid is copied or allocated. The source grant report separately lists Pittsburgh main campus 00337900; candidate is the specifically named branch, and contemporaneous FFEL distinguishes all campuses. HD 2005 changes branch OPEIDs, so the recovery is confined to the recorded award year.",188,346415,,,,,,,,,
grants_2000_116,grants,2000-2001,AY2000-01Pell.xls,992f55a4be031c35e40ab06826ef37e94b61ed6535e8a1177c22cda6f23aa95d,AY 2000-2001,116,,FOOTHILLS TECHNICAL INSTITUTE,AR,,https://studentaid.gov/sites/default/files/AY2000-01Pell.xls,unresolved,,insufficient_contemporaneous_full_id_corroboration,"[{""kind"":""unassigned_annual_hd_candidate"",""ipeds_year"":2000,""unitid"":106935,""opeid8"":""00531900"",""instnm"":""FOOTHILLS TECHNICAL INSTITUTE"",""state"":""AR"",""zip_code"":""72143"",""url"":""https://nces.ed.gov/ipeds/datacenter/data/FA2000HD.zip"",""sha256"":""a3c91094e8e2b953a54d322c0d6a298e909a55fe15ecdf7f8e14800eba1bbcb8"",""member"":""fa2000hd.csv""}]","[""00531900""]",[106935],,True,Codex evidence review,2026-09-23,"No same-year independent FSA full-ID record verifies the blank row. A directory name candidate alone is not an approved recovery. Official Federal School Codes confirms FAFSA 005319, but a FAFSA code is not a full OPEID and no full-ID source corroboration was found. Avoid substituting the later merged Arkansas State Beebe reporting unit.",164,351989.89,,,,,,,,,
